 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.67300000E-01  0.64959228E+05  0.64959228E+05  0.64959228E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13460000E+00  0.93005129E+05  0.93005129E+05  0.93005129E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20190000E+00  0.11488490E+06  0.11488490E+06  0.11488490E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26910000E+00  0.13292680E+06  0.13292680E+06  0.13292680E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33640000E+00  0.14762275E+06  0.14762275E+06  0.14762275E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40370000E+00  0.15875259E+06  0.15875259E+06  0.15875259E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.47100000E+00  0.16632822E+06  0.16632822E+06  0.16632822E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.53830000E+00  0.17120633E+06  0.17120633E+06  0.17120633E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.60560000E+00  0.17547612E+06  0.17547612E+06  0.17547612E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.67280000E+00  0.18184930E+06  0.18184930E+06  0.18184930E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.74010000E+00  0.19217597E+06  0.19217597E+06  0.19217597E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80740000E+00  0.20609410E+06  0.20609410E+06  0.20609410E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.87470000E+00  0.22150159E+06  0.22150159E+06  0.22150159E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.94200000E+00  0.23578682E+06  0.23578682E+06  0.23578682E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10093000E+01  0.24693144E+06  0.24693144E+06  0.24693144E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10766000E+01  0.25394092E+06  0.25394092E+06  0.25394092E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11438000E+01  0.25662917E+06  0.25662917E+06  0.25662917E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
