 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.61500000E-01  0.11906701E+05  0.11906701E+05  0.11906701E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12300000E+00  0.32256898E+05  0.32256898E+05  0.32256898E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18460000E+00  0.43952858E+05  0.43952858E+05  0.43952858E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24610000E+00  0.50556280E+05  0.50556280E+05  0.50556280E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30760000E+00  0.59057757E+05  0.59057757E+05  0.59057757E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36910000E+00  0.67770059E+05  0.67770059E+05  0.67770059E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.43070000E+00  0.73514294E+05  0.73514294E+05  0.73514294E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.49220000E+00  0.82620627E+05  0.82620627E+05  0.82620627E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.55370000E+00  0.10133760E+06  0.10133760E+06  0.10133760E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.61520000E+00  0.12749038E+06  0.12749038E+06  0.12749038E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.67680000E+00  0.15710222E+06  0.15710222E+06  0.15710222E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.73830000E+00  0.18798872E+06  0.18798872E+06  0.18798872E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.79980000E+00  0.21475218E+06  0.21475218E+06  0.21475218E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.86130000E+00  0.23923642E+06  0.23923642E+06  0.23923642E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.92290000E+00  0.27117519E+06  0.27117519E+06  0.27117519E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98440000E+00  0.31405433E+06  0.31405433E+06  0.31405433E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10459000E+01  0.35648039E+06  0.35648039E+06  0.35648039E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11074000E+01  0.38236630E+06  0.38236630E+06  0.38236630E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11690000E+01  0.37794486E+06  0.37794486E+06  0.37794486E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12305000E+01  0.35857569E+06  0.35857569E+06  0.35857569E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12920000E+01  0.34957021E+06  0.34957021E+06  0.34957021E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13535000E+01  0.36763439E+06  0.36763439E+06  0.36763439E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14151000E+01  0.42209207E+06  0.42209207E+06  0.42209207E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14766000E+01  0.50349729E+06  0.50349729E+06  0.50349729E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15381000E+01  0.59123194E+06  0.59123194E+06  0.59123194E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15996000E+01  0.65962805E+06  0.65962805E+06  0.65962805E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16612000E+01  0.69181477E+06  0.69181477E+06  0.69181477E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17227000E+01  0.70005393E+06  0.70005393E+06  0.70005393E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
