 #energy      xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.12398419E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20160031E+05  0.55178562E+05  0.55178562E+05  0.55178562E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10080016E+05  0.71619073E+05  0.71619073E+05  0.71619073E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.67163701E+04  0.82022258E+05  0.82022258E+05  0.82022258E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.50379598E+04  0.92389457E+05  0.92389457E+05  0.92389457E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40306954E+04  0.10371776E+06  0.10371776E+06  0.10371776E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33590949E+04  0.11301632E+06  0.11301632E+06  0.11301632E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28786671E+04  0.12030589E+06  0.12030589E+06  0.12030589E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25189799E+04  0.13292070E+06  0.13292070E+06  0.13292070E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22391944E+04  0.15436588E+06  0.15436588E+06  0.15436588E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20153477E+04  0.18116828E+06  0.18116828E+06  0.18116828E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18319177E+04  0.21012744E+06  0.21012744E+06  0.21012744E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16793199E+04  0.23920444E+06  0.23920444E+06  0.23920444E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15501899E+04  0.26359872E+06  0.26359872E+06  0.26359872E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14395007E+04  0.28703911E+06  0.28703911E+06  0.28703911E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13434196E+04  0.31880468E+06  0.31880468E+06  0.31880468E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12594900E+04  0.36022702E+06  0.36022702E+06  0.36022702E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11854307E+04  0.39862251E+06  0.39862251E+06  0.39862251E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11195972E+04  0.41832819E+06  0.41832819E+06  0.41832819E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10606004E+04  0.40872606E+06  0.40872606E+06  0.40872606E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10075920E+04  0.38859697E+06  0.38859697E+06  0.38859697E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.95962997E+03  0.38226142E+06  0.38226142E+06  0.38226142E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.91602654E+03  0.40476703E+06  0.40476703E+06  0.40476703E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.87615145E+03  0.46275226E+06  0.46275226E+06  0.46275226E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.83965997E+03  0.54464203E+06  0.54464203E+06  0.54464203E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80608668E+03  0.62937553E+06  0.62937553E+06  0.62937553E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.77509497E+03  0.69148173E+06  0.69148173E+06  0.69148173E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.74635319E+03  0.71707235E+06  0.71707235E+06  0.71707235E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.71970855E+03  0.71992202E+06  0.71992202E+06  0.71992202E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.69490075E+03  0.70187139E+06  0.70187139E+06  0.70187139E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.67174618E+03  0.66564133E+06  0.66564133E+06  0.66564133E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.65005081E+03  0.63222548E+06  0.63222548E+06  0.63222548E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.62974498E+03  0.61659641E+06  0.61659641E+06  0.61659641E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.61066932E+03  0.60632106E+06  0.60632106E+06  0.60632106E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59271533E+03  0.58691456E+06  0.58691456E+06  0.58691456E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.57576016E+03  0.56677323E+06  0.56677323E+06  0.56677323E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.55977332E+03  0.55850237E+06  0.55850237E+06  0.55850237E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.54465029E+03  0.55417682E+06  0.55417682E+06  0.55417682E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.53032290E+03  0.54534070E+06  0.54534070E+06  0.54534070E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.51670845E+03  0.53849468E+06  0.53849468E+06  0.53849468E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.50379598E+03  0.54967216E+06  0.54967216E+06  0.54967216E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.49151315E+03  0.58247670E+06  0.58247670E+06  0.58247670E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.47981498E+03  0.61423552E+06  0.61423552E+06  0.61423552E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.46864300E+03  0.62209062E+06  0.62209062E+06  0.62209062E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.45799635E+03  0.60879188E+06  0.60879188E+06  0.60879188E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.44782270E+03  0.58486094E+06  0.58486094E+06  0.58486094E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.43809120E+03  0.55280604E+06  0.55280604E+06  0.55280604E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.42875883E+03  0.51562736E+06  0.51562736E+06  0.51562736E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41982999E+03  0.48455263E+06  0.48455263E+06  0.48455263E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.41126544E+03  0.47116663E+06  0.47116663E+06  0.47116663E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.40304334E+03  0.45905777E+06  0.45905777E+06  0.45905777E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.39513096E+03  0.44164251E+06  0.44164251E+06  0.44164251E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38753537E+03  0.43606941E+06  0.43606941E+06  0.43606941E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38022630E+03  0.44331289E+06  0.44331289E+06  0.44331289E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37318783E+03  0.44025452E+06  0.44025452E+06  0.44025452E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36639437E+03  0.42095659E+06  0.42095659E+06  0.42095659E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35985427E+03  0.40466413E+06  0.40466413E+06  0.40466413E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.35354356E+03  0.40696726E+06  0.40696726E+06  0.40696726E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34745038E+03  0.41754190E+06  0.41754190E+06  0.41754190E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.34155425E+03  0.43348345E+06  0.43348345E+06  0.43348345E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33586399E+03  0.46872536E+06  0.46872536E+06  0.46872536E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.33036022E+03  0.52239794E+06  0.52239794E+06  0.52239794E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32503393E+03  0.57347675E+06  0.57347675E+06  0.57347675E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
