 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.53800000E-01  0.13988086E+05  0.13988086E+05  0.13988086E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10770000E+00  0.45538315E+05  0.45538315E+05  0.45538315E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16150000E+00  0.79852142E+05  0.79852142E+05  0.79852142E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21540000E+00  0.10615490E+06  0.10615490E+06  0.10615490E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26920000E+00  0.11795309E+06  0.11795309E+06  0.11795309E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32300000E+00  0.12075734E+06  0.12075734E+06  0.12075734E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37690000E+00  0.12084107E+06  0.12084107E+06  0.12084107E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.43070000E+00  0.11713357E+06  0.11713357E+06  0.11713357E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.48460000E+00  0.11432555E+06  0.11432555E+06  0.11432555E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.53840000E+00  0.12128128E+06  0.12128128E+06  0.12128128E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59220000E+00  0.14207725E+06  0.14207725E+06  0.14207725E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.64610000E+00  0.17183744E+06  0.17183744E+06  0.17183744E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.69990000E+00  0.19439346E+06  0.19439346E+06  0.19439346E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.75370000E+00  0.20423892E+06  0.20423892E+06  0.20423892E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80760000E+00  0.21019828E+06  0.21019828E+06  0.21019828E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.86140000E+00  0.21455786E+06  0.21455786E+06  0.21455786E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.91530000E+00  0.22823032E+06  0.22823032E+06  0.22823032E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96910000E+00  0.26287657E+06  0.26287657E+06  0.26287657E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10229000E+01  0.31335657E+06  0.31335657E+06  0.31335657E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10768000E+01  0.37659054E+06  0.37659054E+06  0.37659054E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11306000E+01  0.45062538E+06  0.45062538E+06  0.45062538E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11845000E+01  0.52059119E+06  0.52059119E+06  0.52059119E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12383000E+01  0.56999605E+06  0.56999605E+06  0.56999605E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12921000E+01  0.58999809E+06  0.58999809E+06  0.58999809E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
