 #energy      xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.12398419E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23045389E+05  0.71056678E+05  0.71056678E+05  0.71056678E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11511996E+05  0.10205531E+06  0.10205531E+06  0.10205531E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.76770397E+04  0.12432911E+06  0.12432911E+06  0.12432911E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.57559978E+04  0.13502432E+06  0.13502432E+06  0.13502432E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.46056535E+04  0.13709483E+06  0.13709483E+06  0.13709483E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.38385199E+04  0.13855881E+06  0.13855881E+06  0.13855881E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32895779E+04  0.13998207E+06  0.13998207E+06  0.13998207E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28786671E+04  0.13964866E+06  0.13964866E+06  0.13964866E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25584852E+04  0.14350980E+06  0.14350980E+06  0.14350980E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23028267E+04  0.15746540E+06  0.15746540E+06  0.15746540E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20936203E+04  0.18270790E+06  0.18270790E+06  0.18270790E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19189629E+04  0.21220072E+06  0.21220072E+06  0.21220072E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17714558E+04  0.23108414E+06  0.23108414E+06  0.23108414E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16450072E+04  0.23881140E+06  0.23881140E+06  0.23881140E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15352178E+04  0.24478188E+06  0.24478188E+06  0.24478188E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14393335E+04  0.25083258E+06  0.25083258E+06  0.25083258E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13545744E+04  0.26876708E+06  0.26876708E+06  0.26876708E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12793746E+04  0.30718088E+06  0.30718088E+06  0.30718088E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12120852E+04  0.35927064E+06  0.35927064E+06  0.35927064E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11514134E+04  0.42264601E+06  0.42264601E+06  0.42264601E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10966230E+04  0.49415125E+06  0.49415125E+06  0.49415125E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10467218E+04  0.55823803E+06  0.55823803E+06  0.55823803E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10012452E+04  0.59961739E+06  0.59961739E+06  0.59961739E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.95955570E+03  0.61136224E+06  0.61136224E+06  0.61136224E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.92113070E+03  0.60054008E+06  0.60054008E+06  0.60054008E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.88572790E+03  0.58204327E+06  0.58204327E+06  0.58204327E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.85288706E+03  0.56492117E+06  0.56492117E+06  0.56492117E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.82244903E+03  0.55408849E+06  0.55408849E+06  0.55408849E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.79410870E+03  0.54711680E+06  0.54711680E+06  0.54711680E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.76760891E+03  0.53470739E+06  0.53470739E+06  0.53470739E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.74286514E+03  0.51277879E+06  0.51277879E+06  0.51277879E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.71966677E+03  0.48433301E+06  0.48433301E+06  0.48433301E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.69783414E+03  0.45277776E+06  0.45277776E+06  0.45277776E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.67732418E+03  0.42085152E+06  0.42085152E+06  0.42085152E+06  0.00000000E+00  0.00000000E+00  0.00000000E+00
