   #Energy      xx(%)           yy(%)
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.67300000E-01  0.29760204E+01  0.29760204E+01
  0.13460000E+00  0.29499321E+01  0.29499321E+01
  0.20190000E+00  0.28995300E+01  0.28995300E+01
  0.26910000E+00  0.28175024E+01  0.28175024E+01
  0.33640000E+00  0.27052099E+01  0.27052099E+01
  0.40370000E+00  0.25713040E+01  0.25713040E+01
  0.47100000E+00  0.24388521E+01  0.24388521E+01
  0.53830000E+00  0.23398689E+01  0.23398689E+01
  0.60560000E+00  0.23039275E+01  0.23039275E+01
  0.67280000E+00  0.23419616E+01  0.23419616E+01
  0.74010000E+00  0.24365856E+01  0.24365856E+01
  0.80740000E+00  0.25434752E+01  0.25434752E+01
  0.87470000E+00  0.26128127E+01  0.26128127E+01
  0.94200000E+00  0.26126069E+01  0.26126069E+01
  0.10093000E+01  0.25397322E+01  0.25397322E+01
  0.10766000E+01  0.24127091E+01  0.24127091E+01
  0.11438000E+01  0.22563806E+01  0.22563806E+01
  0.12111000E+01  0.20930751E+01  0.20930751E+01
  0.12784000E+01  0.19395471E+01  0.19395471E+01
  0.13457000E+01  0.18089464E+01  0.18089464E+01
  0.14130000E+01  0.17105798E+01  0.17105798E+01
  0.14803000E+01  0.16492367E+01  0.16492367E+01
  0.15476000E+01  0.16253819E+01  0.16253819E+01
  0.16148000E+01  0.16356917E+01  0.16356917E+01
  0.16821000E+01  0.16745828E+01  0.16745828E+01
  0.17494000E+01  0.17340032E+01  0.17340032E+01
  0.18167000E+01  0.18053200E+01  0.18053200E+01
  0.18840000E+01  0.18810118E+01  0.18810118E+01
  0.19513000E+01  0.19566711E+01  0.19566711E+01
  0.20185000E+01  0.20312789E+01  0.20312789E+01
  0.20858000E+01  0.21052488E+01  0.21052488E+01
  0.21531000E+01  0.21755360E+01  0.21755360E+01
  0.22204000E+01  0.22332926E+01  0.22332926E+01
  0.22877000E+01  0.22686220E+01  0.22686220E+01
  0.23550000E+01  0.22797046E+01  0.22797046E+01
  0.24223000E+01  0.22794065E+01  0.22794065E+01
  0.24895000E+01  0.22905811E+01  0.22905811E+01
  0.25568000E+01  0.23359626E+01  0.23359626E+01
  0.26241000E+01  0.24311053E+01  0.24311053E+01
  0.26914000E+01  0.25869501E+01  0.25869501E+01
  0.27587000E+01  0.28131980E+01  0.28131980E+01
  0.28260000E+01  0.31121437E+01  0.31121437E+01
  0.28933000E+01  0.34658176E+01  0.34658176E+01
  0.29605000E+01  0.38288672E+01  0.38288672E+01
  0.30278000E+01  0.41369602E+01  0.41369602E+01
  0.30951000E+01  0.43268595E+01  0.43268595E+01
  0.31624000E+01  0.43610958E+01  0.43610958E+01
  0.32297000E+01  0.42427160E+01  0.42427160E+01
  0.32970000E+01  0.40112575E+01  0.40112575E+01
  0.33642000E+01  0.37218213E+01  0.37218213E+01
  0.34315000E+01  0.34224355E+01  0.34224355E+01
  0.34988000E+01  0.31395994E+01  0.31395994E+01
  0.35661000E+01  0.28771135E+01  0.28771135E+01
  0.36334000E+01  0.26241185E+01  0.26241185E+01
  0.37007000E+01  0.23675181E+01  0.23675181E+01
  0.37680000E+01  0.21021479E+01  0.21021479E+01
  0.38352000E+01  0.18356100E+01  0.18356100E+01
  0.39025000E+01  0.15848925E+01  0.15848925E+01
  0.39698000E+01  0.13674907E+01  0.13674907E+01
  0.40371000E+01  0.11934929E+01  0.11934929E+01
  0.41044000E+01  0.10634032E+01  0.10634032E+01
  0.41717000E+01  0.97170354E+00  0.97170354E+00
  0.42390000E+01  0.91089435E+00  0.91089435E+00
  0.43062000E+01  0.87525010E+00  0.87525010E+00
  0.43735000E+01  0.86080887E+00  0.86080887E+00
  0.44408000E+01  0.86340715E+00  0.86340715E+00
  0.45081000E+01  0.87615134E+00  0.87615134E+00
  0.45754000E+01  0.88806723E+00  0.88806723E+00
  0.46427000E+01  0.88739782E+00  0.88739782E+00
  0.47099000E+01  0.86708936E+00  0.86708936E+00
  0.47772000E+01  0.82986851E+00  0.82986851E+00
  0.48445000E+01  0.78837558E+00  0.78837558E+00
  0.49118000E+01  0.75893835E+00  0.75893835E+00
  0.49791000E+01  0.75474440E+00  0.75474440E+00
  0.50464000E+01  0.78086744E+00  0.78086744E+00
