#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120  28
# Band-Index    1
   0.00000    -20.094980    -19.902450
   0.04542    -20.089605    -19.897034
   0.09085    -20.076209    -19.883523
   0.13627    -20.056317    -19.863437
   0.18170    -20.029870    -19.836725
   0.22712    -19.993347    -19.799846
   0.27255    -19.951163    -19.757186
   0.31797    -19.902548    -19.708003
   0.36340    -19.848650    -19.653412
   0.40882    -19.789251    -19.593192
   0.45425    -19.725833    -19.528789
   0.49967    -19.659524    -19.461329
   0.54510    -19.591737    -19.392210
   0.59052    -19.524154    -19.323114
   0.63595    -19.458847    -19.256135
   0.68137    -19.397680    -19.193179
   0.72680    -19.345703    -19.139451
   0.77222    -19.304381    -19.096561
   0.81765    -19.277771    -19.068839
   0.86307    -19.268545    -19.059202
   0.86307    -19.268545    -19.059202
   0.90850    -19.265120    -19.055789
   0.95392    -19.254881    -19.045577
   0.99935    -19.237978    -19.028712
   1.04477    -19.214895    -19.005656
   1.09020    -19.185317    -18.976128
   1.13562    -19.150351    -18.941170
   1.18105    -19.110319    -18.901110
   1.22647    -19.065805    -18.856494
   1.27190    -19.017304    -18.807782
   1.31732    -18.966428    -18.756577
   1.36275    -18.913395    -18.703067
   1.40817    -18.859518    -18.648532
   1.45360    -18.806190    -18.594327
   1.49902    -18.754064    -18.541097
   1.54445    -18.706578    -18.492286
   1.58987    -18.665632    -18.449893
   1.63530    -18.633195    -18.416077
   1.68072    -18.611809    -18.393637
   1.72615    -18.604406    -18.385834
   1.72615    -18.604406    -18.385834
   1.79039    -18.619343    -18.401562
   1.85463    -18.661994    -18.446255
   1.91887    -18.727744    -18.514626
   1.98311    -18.813617    -18.603236
   2.04735    -18.914338    -18.706515
   2.11159    -19.025355    -18.819850
   2.17583    -19.143140    -18.939711
   2.24007    -19.263482    -19.061881
   2.30431    -19.384411    -19.184444
   2.36855    -19.502388    -19.303874
   2.43279    -19.614097    -19.416846
   2.49703    -19.718539    -19.522371
   2.56127    -19.812793    -19.617592
   2.62551    -19.895459    -19.701085
   2.68975    -19.964914    -19.771194
   2.75399    -20.020136    -19.826931
   2.81823    -20.060387    -19.867559
   2.88247    -20.085553    -19.892946
   2.94671    -20.094980    -19.902450
   2.94671    -20.094980    -19.902450
   3.02539    -20.080877    -19.888231
   3.10407    -20.044132    -19.851162
   3.18275    -19.985276    -19.791768
   3.26143    -19.902245    -19.708017
   3.34010    -19.799450    -19.604314
   3.41878    -19.678014    -19.481854
   3.49746    -19.540707    -19.343458
   3.57614    -19.389892    -19.191447
   3.65482    -19.231357    -19.031779
   3.73350    -19.066501    -18.865899
   3.81217    -18.900713    -18.699172
   3.89085    -18.738441    -18.536149
   3.96953    -18.586116    -18.383257
   4.04821    -18.446126    -18.242936
   4.12689    -18.324575    -18.121238
   4.20556    -18.224545    -18.021190
   4.28424    -18.150230    -17.946944
   4.36292    -18.105420    -17.902192
   4.44160    -18.090185    -17.887002
   4.44160    -18.090185    -17.887002
   4.50584    -18.099814    -17.896548
   4.57008    -18.127269    -17.923761
   4.63432    -18.172647    -17.968742
   4.69856    -18.234339    -18.029953
   4.76280    -18.309386    -18.104450
   4.82704    -18.394921    -18.189396
   4.89128    -18.486202    -18.280121
   4.95552    -18.582240    -18.375608
   5.01976    -18.679973    -18.472825
   5.08400    -18.776146    -18.568556
   5.14824    -18.869647    -18.661667
   5.21249    -18.955884    -18.747558
   5.27673    -19.034701    -18.826080
   5.34097    -19.103744    -18.894885
   5.40521    -19.161468    -18.952411
   5.46945    -19.207322    -18.998166
   5.53369    -19.241232    -19.031969
   5.59793    -19.261692    -19.052371
   5.66217    -19.268545    -19.059202
   5.66217    -18.090185    -17.887002
   5.70759    -18.094072    -17.890755
   5.75302    -18.105302    -17.901619
   5.79844    -18.123180    -17.918875
   5.84387    -18.148526    -17.943363
   5.88929    -18.179548    -17.973353
   5.93472    -18.214773    -18.007311
   5.98014    -18.253972    -18.045261
   6.02557    -18.295461    -18.085458
   6.07099    -18.337728    -18.126516
   6.11642    -18.380216    -18.167744
   6.16184    -18.420863    -18.207225
   6.20727    -18.459830    -18.245089
   6.25269    -18.496032    -18.280302
   6.29812    -18.527707    -18.311117
   6.34354    -18.554333    -18.337078
   6.38897    -18.576375    -18.358541
   6.43439    -18.592084    -18.373841
   6.47982    -18.601196    -18.382706
   6.52524    -18.604406    -18.385834
 
# Band-Index    2
   6.52524    -18.046951    -17.835014
   6.47982    -18.047229    -17.835354
   6.43439    -18.048573    -17.836885
   6.38897    -18.049934    -17.838549
   6.34354    -18.051265    -17.840281
   6.29812    -18.053841    -17.843376
   6.25269    -18.056513    -17.846633
   6.20727    -18.058982    -17.849744
   6.16184    -18.062198    -17.853651
   6.11642    -18.066329    -17.858522
   6.07099    -18.069710    -17.862621
   6.02557    -18.073265    -17.866916
   5.98014    -18.076448    -17.870767
   5.93472    -18.079383    -17.874319
   5.88929    -18.082455    -17.877891
   5.84387    -18.084717    -17.880622
   5.79844    -18.086526    -17.882807
   5.75302    -18.088839    -17.885417
   5.70759    -18.089905    -17.886666
   5.66217    -18.090185    -17.887002
   5.66217    -18.268614    -18.064317
   5.59793    -18.266877    -18.062449
   5.53369    -18.258472    -18.053778
   5.46945    -18.244930    -18.039813
   5.40521    -18.227695    -18.022070
   5.34097    -18.207450    -18.001238
   5.27673    -18.185803    -17.979033
   5.21249    -18.163313    -17.956042
   5.14824    -18.142701    -17.935091
   5.08400    -18.123363    -17.915602
   5.01976    -18.107936    -17.900252
   4.95552    -18.095641    -17.888224
   4.89128    -18.088249    -17.881363
   4.82704    -18.084388    -17.878165
   4.76280    -18.082946    -17.877454
   4.69856    -18.083321    -17.878537
   4.63432    -18.084700    -17.880547
   4.57008    -18.087230    -17.883589
   4.50584    -18.089638    -17.886343
   4.44160    -18.090185    -17.887002
   4.44160    -18.090185    -17.887002
   4.36292    -18.087026    -17.883489
   4.28424    -18.078137    -17.873534
   4.20556    -18.065380    -17.859047
   4.12689    -18.048647    -17.839956
   4.04821    -18.028220    -17.816636
   3.96953    -18.004818    -17.789892
   3.89085    -17.980043    -17.761449
   3.81217    -17.956041    -17.733596
   3.73350    -17.931960    -17.705606
   3.65482    -17.909467    -17.679334
   3.57614    -17.889624    -17.655909
   3.49746    -17.872462    -17.635495
   3.41878    -17.858076    -17.618288
   3.34010    -17.847240    -17.605057
   3.26143    -17.838852    -17.594759
   3.18275    -17.832902    -17.587356
   3.10407    -17.829774    -17.583223
   3.02539    -17.827593    -17.580446
   2.94671    -17.826898    -17.579559
   2.94671    -17.826898    -17.579559
   2.88247    -17.828519    -17.581429
   2.81823    -17.833343    -17.587002
   2.75399    -17.841206    -17.596094
   2.68975    -17.851346    -17.607903
   2.62551    -17.864228    -17.622814
   2.56127    -17.878878    -17.639839
   2.49703    -17.895834    -17.659413
   2.43279    -17.914076    -17.680419
   2.36855    -17.931814    -17.701059
   2.30431    -17.950053    -17.722224
   2.24007    -17.967764    -17.742800
   2.17583    -17.985664    -17.763428
   2.11159    -18.000245    -17.780525
   2.04735    -18.013377    -17.795920
   1.98311    -18.025436    -17.809889
   1.91887    -18.033979    -17.819995
   1.85463    -18.041374    -17.828515
   1.79039    -18.045551    -17.833382
   1.72615    -18.046951    -17.835014
   1.72615    -18.046951    -17.835014
   1.68072    -18.048556    -17.836678
   1.63530    -18.053610    -17.841917
   1.58987    -18.061366    -17.849934
   1.54445    -18.071645    -17.860587
   1.49902    -18.085036    -17.874466
   1.45360    -18.100098    -17.890060
   1.40817    -18.116738    -17.907287
   1.36275    -18.134722    -17.925890
   1.31732    -18.153042    -17.944840
   1.27190    -18.170843    -17.963266
   1.22647    -18.188935    -17.981948
   1.18105    -18.205902    -17.999482
   1.13562    -18.221425    -18.015513
   1.09020    -18.235441    -18.029985
   1.04477    -18.247503    -18.042452
   0.99935    -18.257001    -18.052256
   0.95392    -18.264027    -18.059507
   0.90850    -18.268297    -18.063914
   0.86307    -18.268614    -18.064317
   0.86307    -18.268614    -18.064317
   0.81765    -18.263038    -18.058086
   0.77222    -18.243924    -18.037249
   0.72680    -18.214871    -18.005633
   0.68137    -18.178965    -17.966636
   0.63595    -18.139394    -17.923642
   0.59052    -18.098480    -17.879181
   0.54510    -18.058192    -17.835331
   0.49967    -18.019882    -17.793533
   0.45425    -17.984529    -17.754832
   0.40882    -17.952571    -17.719719
   0.36340    -17.924173    -17.688441
   0.31797    -17.900366    -17.661995
   0.27255    -17.879767    -17.639060
   0.22712    -17.863253    -17.620569
   0.18170    -17.849945    -17.605599
   0.13627    -17.839707    -17.594055
   0.09085    -17.832536    -17.585944
   0.04542    -17.828293    -17.581136
   0.00000    -17.826898    -17.579559
 
# Band-Index    3
   0.00000    -17.826898    -17.579559
   0.04542    -17.825962    -17.578564
   0.09085    -17.823167    -17.575591
   0.13627    -17.818602    -17.570744
   0.18170    -17.812361    -17.564117
   0.22712    -17.804070    -17.555314
   0.27255    -17.795518    -17.546221
   0.31797    -17.785355    -17.535408
   0.36340    -17.772769    -17.522096
   0.40882    -17.761217    -17.509782
   0.45425    -17.749393    -17.497168
   0.49967    -17.737602    -17.484596
   0.54510    -17.726301    -17.472516
   0.59052    -17.715697    -17.461171
   0.63595    -17.706099    -17.450894
   0.68137    -17.697792    -17.441993
   0.72680    -17.691030    -17.434743
   0.77222    -17.686017    -17.429368
   0.81765    -17.682911    -17.426037
   0.86307    -17.679726    -17.422689
   0.86307    -17.679726    -17.422689
   0.90850    -17.683441    -17.426722
   0.95392    -17.688249    -17.432222
   0.99935    -17.696181    -17.441288
   1.04477    -17.707162    -17.453823
   1.09020    -17.721090    -17.469692
   1.13562    -17.737843    -17.488737
   1.18105    -17.757922    -17.511384
   1.22647    -17.780164    -17.536497
   1.27190    -17.804472    -17.563891
   1.31732    -17.831958    -17.594650
   1.36275    -17.860146    -17.626228
   1.40817    -17.889212    -17.658756
   1.45360    -17.919596    -17.692648
   1.49902    -17.951021    -17.727539
   1.54445    -17.979597    -17.759504
   1.58987    -18.006207    -17.789219
   1.63530    -18.027641    -17.813233
   1.68072    -18.041819    -17.829226
   1.72615    -18.046951    -17.835014
   1.72615    -18.046951    -17.835014
   1.79039    -18.041919    -17.829035
   1.85463    -18.026381    -17.810990
   1.91887    -18.003580    -17.784809
   1.98311    -17.978057    -17.755583
   2.04735    -17.948911    -17.722677
   2.11159    -17.921422    -17.691584
   2.17583    -17.895656    -17.662407
   2.24007    -17.872212    -17.635865
   2.30431    -17.853076    -17.613982
   2.36855    -17.838102    -17.596670
   2.43279    -17.827310    -17.583989
   2.49703    -17.820360    -17.575584
   2.56127    -17.816566    -17.570711
   2.62551    -17.816177    -17.569630
   2.68975    -17.818058    -17.571086
   2.75399    -17.821262    -17.574059
   2.81823    -17.824285    -17.576989
   2.88247    -17.826204    -17.578871
   2.94671    -17.826898    -17.579559
   2.94671    -17.826898    -17.579559
   3.02539    -17.827593    -17.580446
   3.10407    -17.829774    -17.583223
   3.18275    -17.832902    -17.587356
   3.26143    -17.838852    -17.594759
   3.34010    -17.847240    -17.605057
   3.41878    -17.858076    -17.618288
   3.49746    -17.872462    -17.635495
   3.57614    -17.889624    -17.655909
   3.65482    -17.909467    -17.679334
   3.73350    -17.931960    -17.705606
   3.81217    -17.956041    -17.733596
   3.89085    -17.980043    -17.761449
   3.96953    -18.004818    -17.789892
   4.04821    -18.028220    -17.816636
   4.12689    -18.048647    -17.839955
   4.20556    -18.065380    -17.859047
   4.28424    -18.078137    -17.873534
   4.36292    -18.087026    -17.883489
   4.44160    -18.090185    -17.887002
   4.44160    -18.090185    -17.887002
   4.50584    -18.087761    -17.884279
   4.57008    -18.079651    -17.875278
   4.63432    -18.067266    -17.861429
   4.69856    -18.051483    -17.843590
   4.76280    -18.031064    -17.820581
   4.82704    -18.006455    -17.792929
   4.89128    -17.979036    -17.762019
   4.95552    -17.948349    -17.727495
   5.01976    -17.917280    -17.692250
   5.08400    -17.884052    -17.654662
   5.14824    -17.850491    -17.616643
   5.21249    -17.816454    -17.578190
   5.27673    -17.785186    -17.542648
   5.34097    -17.755404    -17.508924
   5.40521    -17.730378    -17.480377
   5.46945    -17.709825    -17.456898
   5.53369    -17.694517    -17.439394
   5.59793    -17.685055    -17.428568
   5.66217    -17.679726    -17.422689
   5.66217    -18.090185    -17.887002
   5.70759    -18.089905    -17.886666
   5.75302    -18.088839    -17.885417
   5.79844    -18.086526    -17.882807
   5.84387    -18.084717    -17.880622
   5.88929    -18.082455    -17.877891
   5.93472    -18.079383    -17.874319
   5.98014    -18.076448    -17.870767
   6.02557    -18.073265    -17.866916
   6.07099    -18.069710    -17.862621
   6.11642    -18.066329    -17.858522
   6.16184    -18.062198    -17.853651
   6.20727    -18.058982    -17.849744
   6.25269    -18.056513    -17.846633
   6.29812    -18.053841    -17.843376
   6.34354    -18.051265    -17.840281
   6.38897    -18.049934    -17.838549
   6.43439    -18.048573    -17.836885
   6.47982    -18.047229    -17.835354
   6.52524    -18.046951    -17.835014
 
