  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.30233170E-01  0.17333098E-01  0.27848618E-01  0.18935368E+00             NaN             NaN
  0.83300000E-01  0.30233170E-01  0.17333098E-01  0.27848618E-01  0.18935368E+00             NaN             NaN
  0.16660000E+00  0.59120637E-01  0.35537842E-01  0.53229518E-01  0.31397350E+00             NaN             NaN
  0.24990000E+00  0.82174583E-01  0.53750714E-01  0.77662821E-01  0.33694557E+00             NaN             NaN
  0.33320000E+00  0.95108749E-01  0.69627012E-01  0.10527707E+00  0.25427978E+00             NaN             NaN
  0.41640000E+00  0.99033645E-01  0.81902961E-01  0.14115983E+00  0.78761073E-01             NaN             NaN
  0.49970000E+00  0.98105374E-01  0.91039526E-01  0.18994984E+00 -0.17623918E+00             NaN             NaN
  0.58300000E+00  0.95578915E-01  0.98369749E-01  0.24821307E+00 -0.50194592E+00             NaN             NaN
  0.66630000E+00  0.93293868E-01  0.10602662E+00  0.29195529E+00 -0.90027382E+00             NaN             NaN
  0.74960000E+00  0.92068121E-01  0.11606299E+00  0.29873315E+00 -0.13952358E+01             NaN             NaN
  0.83290000E+00  0.92074474E-01  0.12895677E+00  0.28246977E+00 -0.20620246E+01             NaN             NaN
  0.91620000E+00  0.93558527E-01  0.14219544E+00  0.26351560E+00 -0.31156092E+01             NaN             NaN
  0.99950000E+00  0.97237675E-01  0.15026808E+00  0.24736284E+00 -0.52962382E+01             NaN             NaN
  0.10828000E+01  0.10388337E+00  0.15007234E+00  0.23222681E+00 -0.95909911E+01             NaN             NaN
  0.11661000E+01  0.11386730E+00  0.14538795E+00  0.21594955E+00  0.25327956E+01             NaN             NaN
  0.12493000E+01  0.12718649E+00  0.14088904E+00  0.19915805E+00  0.17982083E+01             NaN             NaN
  0.13326000E+01  0.14337181E+00  0.13725815E+00  0.18489577E+00  0.78203959E+00             NaN             NaN
  0.14159000E+01  0.16096259E+00  0.13284002E+00  0.17482839E+00  0.11577000E+00             NaN             NaN
  0.14992000E+01  0.17698783E+00  0.12672232E+00  0.16695495E+00 -0.35663629E+00             NaN             NaN
  0.15825000E+01  0.18809259E+00  0.12049190E+00  0.15795485E+00 -0.70904284E+00             NaN             NaN
