  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.56802174E-02  0.56802174E-02  0.56802174E-02             NaN             NaN             NaN
  0.61500000E-01  0.56802174E-02  0.56802174E-02  0.56802174E-02             NaN             NaN             NaN
  0.12300000E+00  0.10992232E-01  0.10992232E-01  0.10992232E-01             NaN             NaN             NaN
  0.18460000E+00  0.14565386E-01  0.14565386E-01  0.14565386E-01             NaN             NaN             NaN
  0.24610000E+00  0.16533153E-01  0.16533153E-01  0.16533153E-01             NaN             NaN             NaN
  0.30760000E+00  0.18024997E-01  0.18024997E-01  0.18024997E-01             NaN             NaN             NaN
  0.36910000E+00  0.19261831E-01  0.19261831E-01  0.19261831E-01             NaN             NaN             NaN
  0.43070000E+00  0.19349692E-01  0.19349692E-01  0.19349692E-01             NaN             NaN             NaN
  0.49220000E+00  0.18667559E-01  0.18667559E-01  0.18667559E-01             NaN             NaN             NaN
  0.55370000E+00  0.18587071E-01  0.18587071E-01  0.18587071E-01             NaN             NaN             NaN
  0.61520000E+00  0.19286566E-01  0.19286566E-01  0.19286566E-01             NaN             NaN             NaN
  0.67680000E+00  0.20436016E-01  0.20436016E-01  0.20436016E-01             NaN             NaN             NaN
  0.73830000E+00  0.21984899E-01  0.21984899E-01  0.21984899E-01             NaN             NaN             NaN
  0.79980000E+00  0.23651057E-01  0.23651057E-01  0.23651057E-01             NaN             NaN             NaN
  0.86130000E+00  0.24748418E-01  0.24748418E-01  0.24748418E-01             NaN             NaN             NaN
  0.92290000E+00  0.25419261E-01  0.25419261E-01  0.25419261E-01             NaN             NaN             NaN
  0.98440000E+00  0.26581395E-01  0.26581395E-01  0.26581395E-01             NaN             NaN             NaN
  0.10459000E+01  0.28998826E-01  0.28998826E-01  0.28998826E-01             NaN             NaN             NaN
  0.11074000E+01  0.33174836E-01  0.33174836E-01  0.33174836E-01             NaN             NaN             NaN
  0.11690000E+01  0.39104360E-01  0.39104360E-01  0.39104360E-01             NaN             NaN             NaN
  0.12305000E+01  0.43047082E-01  0.43047082E-01  0.43047082E-01             NaN             NaN             NaN
  0.12920000E+01  0.42113182E-01  0.42113182E-01  0.42113182E-01             NaN             NaN             NaN
  0.13535000E+01  0.37993291E-01  0.37993291E-01  0.37993291E-01             NaN             NaN             NaN
  0.14151000E+01  0.34285078E-01  0.34285078E-01  0.34285078E-01             NaN             NaN             NaN
  0.14766000E+01  0.32369397E-01  0.32369397E-01  0.32369397E-01             NaN             NaN             NaN
  0.15381000E+01  0.31943074E-01  0.31943074E-01  0.31943074E-01             NaN             NaN             NaN
  0.15996000E+01  0.32870122E-01  0.32870122E-01  0.32870122E-01             NaN             NaN             NaN
  0.16612000E+01  0.35154392E-01  0.35154392E-01  0.35154392E-01             NaN             NaN             NaN
  0.17227000E+01  0.38191483E-01  0.38191483E-01  0.38191483E-01             NaN             NaN             NaN
  0.17842000E+01  0.42901782E-01  0.42901782E-01  0.42901782E-01             NaN             NaN             NaN
  0.18457000E+01  0.50818114E-01  0.50818114E-01  0.50818114E-01             NaN             NaN             NaN
  0.19073000E+01  0.60479582E-01  0.60479582E-01  0.60479582E-01             NaN             NaN             NaN
  0.19688000E+01  0.67968295E-01  0.67968295E-01  0.67968295E-01             NaN             NaN             NaN
  0.20303000E+01  0.74772948E-01  0.74772948E-01  0.74772948E-01             NaN             NaN             NaN
  0.20918000E+01  0.84754972E-01  0.84754972E-01  0.84754972E-01             NaN             NaN             NaN
  0.21534000E+01  0.96039018E-01  0.96039018E-01  0.96039018E-01             NaN             NaN             NaN
  0.22149000E+01  0.10375881E+00  0.10375881E+00  0.10375881E+00             NaN             NaN             NaN
  0.22764000E+01  0.11050487E+00  0.11050487E+00  0.11050487E+00             NaN             NaN             NaN
