  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.29613336E-02  0.29613336E-02  0.29613336E-02             NaN             NaN             NaN
  0.53800000E-01  0.29613336E-02  0.29613336E-02  0.29613336E-02             NaN             NaN             NaN
  0.10770000E+00  0.59278281E-02  0.59278281E-02  0.59278281E-02             NaN             NaN             NaN
  0.16150000E+00  0.93466952E-02  0.93466952E-02  0.93466952E-02             NaN             NaN             NaN
  0.21540000E+00  0.13968120E-01  0.13968120E-01  0.13968120E-01             NaN             NaN             NaN
  0.26920000E+00  0.19175353E-01  0.19175353E-01  0.19175353E-01             NaN             NaN             NaN
  0.32300000E+00  0.23183020E-01  0.23183020E-01  0.23183020E-01             NaN             NaN             NaN
  0.37690000E+00  0.25983660E-01  0.25983660E-01  0.25983660E-01             NaN             NaN             NaN
  0.43070000E+00  0.26954787E-01  0.26954787E-01  0.26954787E-01             NaN             NaN             NaN
  0.48460000E+00  0.25488332E-01  0.25488332E-01  0.25488332E-01             NaN             NaN             NaN
  0.53840000E+00  0.23634152E-01  0.23634152E-01  0.23634152E-01             NaN             NaN             NaN
  0.59220000E+00  0.23058030E-01  0.23058030E-01  0.23058030E-01             NaN             NaN             NaN
  0.64610000E+00  0.24335180E-01  0.24335180E-01  0.24335180E-01             NaN             NaN             NaN
  0.69990000E+00  0.26891701E-01  0.26891701E-01  0.26891701E-01             NaN             NaN             NaN
  0.75370000E+00  0.28981242E-01  0.28981242E-01  0.28981242E-01             NaN             NaN             NaN
  0.80760000E+00  0.29845061E-01  0.29845061E-01  0.29845061E-01             NaN             NaN             NaN
  0.86140000E+00  0.29261065E-01  0.29261065E-01  0.29261065E-01             NaN             NaN             NaN
  0.91530000E+00  0.27097828E-01  0.27097828E-01  0.27097828E-01             NaN             NaN             NaN
  0.96910000E+00  0.25376638E-01  0.25376638E-01  0.25376638E-01             NaN             NaN             NaN
  0.10229000E+01  0.24623395E-01  0.24623395E-01  0.24623395E-01             NaN             NaN             NaN
  0.10768000E+01  0.24319843E-01  0.24319843E-01  0.24319843E-01             NaN             NaN             NaN
  0.11306000E+01  0.24489682E-01  0.24489682E-01  0.24489682E-01             NaN             NaN             NaN
  0.11845000E+01  0.25321864E-01  0.25321864E-01  0.25321864E-01             NaN             NaN             NaN
  0.12383000E+01  0.26892326E-01  0.26892326E-01  0.26892326E-01             NaN             NaN             NaN
  0.12921000E+01  0.29541198E-01  0.29541198E-01  0.29541198E-01             NaN             NaN             NaN
  0.13460000E+01  0.33518183E-01  0.33518183E-01  0.33518183E-01             NaN             NaN             NaN
  0.13998000E+01  0.38530930E-01  0.38530930E-01  0.38530930E-01             NaN             NaN             NaN
  0.14537000E+01  0.44052768E-01  0.44052768E-01  0.44052768E-01             NaN             NaN             NaN
  0.15075000E+01  0.49198348E-01  0.49198348E-01  0.49198348E-01             NaN             NaN             NaN
  0.15613000E+01  0.53928487E-01  0.53928487E-01  0.53928487E-01             NaN             NaN             NaN
