  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00             NaN             NaN             NaN
  0.53800000E-01  0.27171673E-02  0.27171673E-02  0.27171673E-02             NaN             NaN             NaN
  0.10770000E+00  0.55639307E-02  0.55639307E-02  0.55639307E-02             NaN             NaN             NaN
  0.16150000E+00  0.87792783E-02  0.87792783E-02  0.87792783E-02             NaN             NaN             NaN
  0.21540000E+00  0.12928225E-01  0.12928225E-01  0.12928225E-01             NaN             NaN             NaN
  0.26920000E+00  0.18067324E-01  0.18067324E-01  0.18067324E-01             NaN             NaN             NaN
  0.32300000E+00  0.22859325E-01  0.22859325E-01  0.22859325E-01             NaN             NaN             NaN
  0.37690000E+00  0.26410172E-01  0.26410172E-01  0.26410172E-01             NaN             NaN             NaN
  0.43070000E+00  0.27914327E-01  0.27914327E-01  0.27914327E-01             NaN             NaN             NaN
  0.48460000E+00  0.25872950E-01  0.25872950E-01  0.25872950E-01             NaN             NaN             NaN
  0.53840000E+00  0.22896136E-01  0.22896136E-01  0.22896136E-01             NaN             NaN             NaN
  0.59220000E+00  0.21739546E-01  0.21739546E-01  0.21739546E-01             NaN             NaN             NaN
  0.64610000E+00  0.22951771E-01  0.22951771E-01  0.22951771E-01             NaN             NaN             NaN
  0.69990000E+00  0.25601429E-01  0.25601429E-01  0.25601429E-01             NaN             NaN             NaN
  0.75370000E+00  0.27764909E-01  0.27764909E-01  0.27764909E-01             NaN             NaN             NaN
  0.80760000E+00  0.28580611E-01  0.28580611E-01  0.28580611E-01             NaN             NaN             NaN
  0.86140000E+00  0.27896294E-01  0.27896294E-01  0.27896294E-01             NaN             NaN             NaN
  0.91530000E+00  0.25611513E-01  0.25611513E-01  0.25611513E-01             NaN             NaN             NaN
  0.96910000E+00  0.23945313E-01  0.23945313E-01  0.23945313E-01             NaN             NaN             NaN
  0.10229000E+01  0.23447989E-01  0.23447989E-01  0.23447989E-01             NaN             NaN             NaN
  0.10768000E+01  0.23502266E-01  0.23502266E-01  0.23502266E-01             NaN             NaN             NaN
  0.11306000E+01  0.24091315E-01  0.24091315E-01  0.24091315E-01             NaN             NaN             NaN
  0.11845000E+01  0.25380820E-01  0.25380820E-01  0.25380820E-01             NaN             NaN             NaN
  0.12383000E+01  0.27408128E-01  0.27408128E-01  0.27408128E-01             NaN             NaN             NaN
  0.12921000E+01  0.30461449E-01  0.30461449E-01  0.30461449E-01             NaN             NaN             NaN
  0.13460000E+01  0.34727413E-01  0.34727413E-01  0.34727413E-01             NaN             NaN             NaN
  0.13998000E+01  0.39881313E-01  0.39881313E-01  0.39881313E-01             NaN             NaN             NaN
  0.14537000E+01  0.45425397E-01  0.45425397E-01  0.45425397E-01             NaN             NaN             NaN
  0.15075000E+01  0.50574478E-01  0.50574478E-01  0.50574478E-01             NaN             NaN             NaN
  0.15613000E+01  0.55337916E-01  0.55337916E-01  0.55337916E-01             NaN             NaN             NaN
  0.16152000E+01  0.61384267E-01  0.61384267E-01  0.61384267E-01             NaN             NaN             NaN
  0.16690000E+01  0.70486518E-01  0.70486518E-01  0.70486518E-01             NaN             NaN             NaN
  0.17228000E+01  0.83591646E-01  0.83591646E-01  0.83591646E-01             NaN             NaN             NaN
  0.17767000E+01  0.10112849E+00  0.10112849E+00  0.10112849E+00             NaN             NaN             NaN
  0.18305000E+01  0.12228447E+00  0.12228447E+00  0.12228447E+00             NaN             NaN             NaN
  0.18844000E+01  0.14247166E+00  0.14247166E+00  0.14247166E+00             NaN             NaN             NaN
  0.19382000E+01  0.15291184E+00  0.15291184E+00  0.15291184E+00             NaN             NaN             NaN
  0.19920000E+01  0.14819681E+00  0.14819681E+00  0.14819681E+00             NaN             NaN             NaN
  0.20459000E+01  0.13969536E+00  0.13969536E+00  0.13969536E+00             NaN             NaN             NaN
  0.20997000E+01  0.13783410E+00  0.13783410E+00  0.13783410E+00             NaN             NaN             NaN
  0.21536000E+01  0.13839505E+00  0.13839505E+00  0.13839505E+00             NaN             NaN             NaN
  0.22074000E+01  0.13259741E+00  0.13259741E+00  0.13259741E+00             NaN             NaN             NaN
  0.22612000E+01  0.12731597E+00  0.12731597E+00  0.12731597E+00             NaN             NaN             NaN
  0.23151000E+01  0.12883909E+00  0.12883909E+00  0.12883909E+00             NaN             NaN             NaN
  0.23689000E+01  0.13580311E+00  0.13580311E+00  0.13580311E+00             NaN             NaN             NaN
  0.24228000E+01  0.14432131E+00  0.14432131E+00  0.14432131E+00             NaN             NaN             NaN
  0.24766000E+01  0.14992262E+00  0.14992262E+00  0.14992262E+00             NaN             NaN             NaN
  0.25304000E+01  0.14980535E+00  0.14980535E+00  0.14980535E+00             NaN             NaN             NaN
  0.25843000E+01  0.14917609E+00  0.14917609E+00  0.14917609E+00             NaN             NaN             NaN
  0.26381000E+01  0.15356001E+00  0.15356001E+00  0.15356001E+00             NaN             NaN             NaN
  0.26919000E+01  0.16142406E+00  0.16142406E+00  0.16142406E+00             NaN             NaN             NaN
  0.27458000E+01  0.16842387E+00  0.16842387E+00  0.16842387E+00             NaN             NaN             NaN
  0.27996000E+01  0.17670907E+00  0.17670907E+00  0.17670907E+00             NaN             NaN             NaN
  0.28535000E+01  0.19093313E+00  0.19093313E+00  0.19093313E+00             NaN             NaN             NaN
  0.29073000E+01  0.20957942E+00  0.20957942E+00  0.20957942E+00             NaN             NaN             NaN
  0.29611000E+01  0.22231165E+00  0.22231165E+00  0.22231165E+00             NaN             NaN             NaN
  0.30150000E+01  0.22406670E+00  0.22406670E+00  0.22406670E+00             NaN             NaN             NaN
  0.30688000E+01  0.22327484E+00  0.22327484E+00  0.22327484E+00             NaN             NaN             NaN
  0.31227000E+01  0.22752718E+00  0.22752718E+00  0.22752718E+00             NaN             NaN             NaN
  0.31765000E+01  0.24118086E+00  0.24118086E+00  0.24118086E+00             NaN             NaN             NaN
  0.32303000E+01  0.25167739E+00  0.25167739E+00  0.25167739E+00             NaN             NaN             NaN
  0.32842000E+01  0.23846236E+00  0.23846236E+00  0.23846236E+00             NaN             NaN             NaN
  0.33380000E+01  0.22054451E+00  0.22054451E+00  0.22054451E+00             NaN             NaN             NaN
  0.33919000E+01  0.21571312E+00  0.21571312E+00  0.21571312E+00             NaN             NaN             NaN
  0.34457000E+01  0.22528992E+00  0.22528992E+00  0.22528992E+00             NaN             NaN             NaN
  0.34995000E+01  0.23931480E+00  0.23931480E+00  0.23931480E+00             NaN             NaN             NaN
  0.35534000E+01  0.23448251E+00  0.23448251E+00  0.23448251E+00             NaN             NaN             NaN
  0.36072000E+01  0.21261868E+00  0.21261868E+00  0.21261868E+00             NaN             NaN             NaN
  0.36611000E+01  0.19497874E+00  0.19497874E+00  0.19497874E+00             NaN             NaN             NaN
  0.37149000E+01  0.19072891E+00  0.19072891E+00  0.19072891E+00             NaN             NaN             NaN
  0.37687000E+01  0.19087422E+00  0.19087422E+00  0.19087422E+00             NaN             NaN             NaN
  0.38226000E+01  0.18202189E+00  0.18202189E+00  0.18202189E+00             NaN             NaN             NaN
  0.38764000E+01  0.16813715E+00  0.16813715E+00  0.16813715E+00             NaN             NaN             NaN
  0.39302000E+01  0.16063133E+00  0.16063133E+00  0.16063133E+00             NaN             NaN             NaN
  0.39841000E+01  0.15687496E+00  0.15687496E+00  0.15687496E+00             NaN             NaN             NaN
  0.40379000E+01  0.15237603E+00  0.15237603E+00  0.15237603E+00             NaN             NaN             NaN
  0.40918000E+01  0.15062184E+00  0.15062184E+00  0.15062184E+00             NaN             NaN             NaN
  0.41456000E+01  0.15256433E+00  0.15256433E+00  0.15256433E+00             NaN             NaN             NaN
  0.41994000E+01  0.15264068E+00  0.15264068E+00  0.15264068E+00             NaN             NaN             NaN
  0.42533000E+01  0.14778299E+00  0.14778299E+00  0.14778299E+00             NaN             NaN             NaN
