  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.53800000E-01  0.25652662E+01  0.25652662E+01  0.25652662E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10770000E+00  0.41717443E+01  0.41717443E+01  0.41717443E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16150000E+00  0.48783220E+01  0.48783220E+01  0.48783220E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21540000E+00  0.48624008E+01  0.48624008E+01  0.48624008E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26920000E+00  0.43230543E+01  0.43230543E+01  0.43230543E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32300000E+00  0.36886497E+01  0.36886497E+01  0.36886497E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37690000E+00  0.31633324E+01  0.31633324E+01  0.31633324E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.43070000E+00  0.26832611E+01  0.26832611E+01  0.26832611E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.48460000E+00  0.23276427E+01  0.23276427E+01  0.23276427E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.53840000E+00  0.22225172E+01  0.22225172E+01  0.22225172E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59220000E+00  0.23670779E+01  0.23670779E+01  0.23670779E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.64610000E+00  0.26240643E+01  0.26240643E+01  0.26240643E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.69990000E+00  0.27403250E+01  0.27403250E+01  0.27403250E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.75370000E+00  0.26735999E+01  0.26735999E+01  0.26735999E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80760000E+00  0.25679659E+01  0.25679659E+01  0.25679659E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.86140000E+00  0.24575139E+01  0.24575139E+01  0.24575139E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.91530000E+00  0.24601767E+01  0.24601767E+01  0.24601767E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96910000E+00  0.26763303E+01  0.26763303E+01  0.26763303E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10229000E+01  0.30224703E+01  0.30224703E+01  0.30224703E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10768000E+01  0.34505695E+01  0.34505695E+01  0.34505695E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11306000E+01  0.39324489E+01  0.39324489E+01  0.39324489E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11845000E+01  0.43362885E+01  0.43362885E+01  0.43362885E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12383000E+01  0.45415321E+01  0.45415321E+01  0.45415321E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12921000E+01  0.45051670E+01  0.45051670E+01  0.45051670E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13460000E+01  0.42918325E+01  0.42918325E+01  0.42918325E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13998000E+01  0.40249873E+01  0.40249873E+01  0.40249873E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14537000E+01  0.37764536E+01  0.37764536E+01  0.37764536E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15075000E+01  0.35811914E+01  0.35811914E+01  0.35811914E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15613000E+01  0.34258363E+01  0.34258363E+01  0.34258363E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
