  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.88522095E+01  0.88522095E+01  0.88522095E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.61500000E-01  0.88522095E+01  0.88522095E+01  0.88522095E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12300000E+00  0.57448674E+01  0.57448674E+01  0.57448674E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18460000E+00  0.43838577E+01  0.43838577E+01  0.43838577E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24610000E+00  0.37039679E+01  0.37039679E+01  0.37039679E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30760000E+00  0.33267733E+01  0.33267733E+01  0.33267733E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.36910000E+00  0.30210195E+01  0.30210195E+01  0.30210195E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.43070000E+00  0.27559316E+01  0.27559316E+01  0.27559316E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.49220000E+00  0.26644491E+01  0.26644491E+01  0.26644491E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.55370000E+00  0.27506366E+01  0.27506366E+01  0.27506366E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.61520000E+00  0.29055092E+01  0.29055092E+01  0.29055092E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.67680000E+00  0.30632245E+01  0.30632245E+01  0.30632245E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.73830000E+00  0.31966330E+01  0.31966330E+01  0.31966330E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.79980000E+00  0.32517587E+01  0.32517587E+01  0.32517587E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.86130000E+00  0.32880850E+01  0.32880850E+01  0.32880850E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.92290000E+00  0.34082109E+01  0.34082109E+01  0.34082109E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.98440000E+00  0.36104480E+01  0.36104480E+01  0.36104480E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10459000E+01  0.37603483E+01  0.37603483E+01  0.37603483E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11074000E+01  0.37270827E+01  0.37270827E+01  0.37270827E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11690000E+01  0.34496437E+01  0.34496437E+01  0.34496437E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12305000E+01  0.31158332E+01  0.31158332E+01  0.31158332E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12920000E+01  0.29191363E+01  0.29191363E+01  0.29191363E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13535000E+01  0.29505521E+01  0.29505521E+01  0.29505521E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14151000E+01  0.32263972E+01  0.32263972E+01  0.32263972E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14766000E+01  0.36391898E+01  0.36391898E+01  0.36391898E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15381000E+01  0.40372133E+01  0.40372133E+01  0.40372133E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15996000E+01  0.42650658E+01  0.42650658E+01  0.42650658E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16612000E+01  0.42589003E+01  0.42589003E+01  0.42589003E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17227000E+01  0.41231793E+01  0.41231793E+01  0.41231793E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17842000E+01  0.38812393E+01  0.38812393E+01  0.38812393E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18457000E+01  0.35582429E+01  0.35582429E+01  0.35582429E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19073000E+01  0.32704642E+01  0.32704642E+01  0.32704642E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19688000E+01  0.30899810E+01  0.30899810E+01  0.30899810E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20303000E+01  0.29464485E+01  0.29464485E+01  0.29464485E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20918000E+01  0.27682872E+01  0.27682872E+01  0.27682872E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21534000E+01  0.25968152E+01  0.25968152E+01  0.25968152E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22149000E+01  0.24878679E+01  0.24878679E+01  0.24878679E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22764000E+01  0.24019071E+01  0.24019071E+01  0.24019071E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23379000E+01  0.23014333E+01  0.23014333E+01  0.23014333E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23995000E+01  0.22142012E+01  0.22142012E+01  0.22142012E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24610000E+01  0.22036801E+01  0.22036801E+01  0.22036801E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25225000E+01  0.22782627E+01  0.22782627E+01  0.22782627E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25840000E+01  0.23453023E+01  0.23453023E+01  0.23453023E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26456000E+01  0.23199888E+01  0.23199888E+01  0.23199888E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27071000E+01  0.22188144E+01  0.22188144E+01  0.22188144E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.27686000E+01  0.20842452E+01  0.20842452E+01  0.20842452E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28301000E+01  0.19272028E+01  0.19272028E+01  0.19272028E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.28917000E+01  0.17592969E+01  0.17592969E+01  0.17592969E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.29532000E+01  0.16188422E+01  0.16188422E+01  0.16188422E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.30147000E+01  0.15420088E+01  0.15420088E+01  0.15420088E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
