  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.13031039E+02  0.13031039E+02  0.13031039E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.53800000E-01  0.13031039E+02  0.13031039E+02  0.13031039E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10770000E+00  0.93492402E+01  0.93492402E+01  0.93492402E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16150000E+00  0.75955064E+01  0.75955064E+01  0.75955064E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21540000E+00  0.61847581E+01  0.61847581E+01  0.61847581E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26920000E+00  0.50246111E+01  0.50246111E+01  0.50246111E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32300000E+00  0.42324130E+01  0.42324130E+01  0.42324130E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37690000E+00  0.36643985E+01  0.36643985E+01  0.36643985E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.43070000E+00  0.31990300E+01  0.31990300E+01  0.31990300E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.48460000E+00  0.29218274E+01  0.29218274E+01  0.29218274E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.53840000E+00  0.28856025E+01  0.28856025E+01  0.28856025E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59220000E+00  0.30440049E+01  0.30440049E+01  0.30440049E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.64610000E+00  0.32404367E+01  0.32404367E+01  0.32404367E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.69990000E+00  0.32575460E+01  0.32575460E+01  0.32575460E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.75370000E+00  0.31261726E+01  0.31261726E+01  0.31261726E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80760000E+00  0.29904695E+01  0.29904695E+01  0.29904695E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.86140000E+00  0.28729991E+01  0.28729991E+01  0.28729991E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.91530000E+00  0.28971369E+01  0.28971369E+01  0.28971369E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96910000E+00  0.31273897E+01  0.31273897E+01  0.31273897E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10229000E+01  0.34653330E+01  0.34653330E+01  0.34653330E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10768000E+01  0.38725599E+01  0.38725599E+01  0.38725599E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11306000E+01  0.43122839E+01  0.43122839E+01  0.43122839E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11845000E+01  0.46498696E+01  0.46498696E+01  0.46498696E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12383000E+01  0.47775448E+01  0.47775448E+01  0.47775448E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12921000E+01  0.46683016E+01  0.46683016E+01  0.46683016E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13460000E+01  0.44020337E+01  0.44020337E+01  0.44020337E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13998000E+01  0.41024727E+01  0.41024727E+01  0.41024727E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14537000E+01  0.38341534E+01  0.38341534E+01  0.38341534E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15075000E+01  0.36264210E+01  0.36264210E+01  0.36264210E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15613000E+01  0.34574038E+01  0.34574038E+01  0.34574038E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16152000E+01  0.32662265E+01  0.32662265E+01  0.32662265E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16690000E+01  0.30313085E+01  0.30313085E+01  0.30313085E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17228000E+01  0.27737392E+01  0.27737392E+01  0.27737392E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17767000E+01  0.25143597E+01  0.25143597E+01  0.25143597E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18305000E+01  0.22683788E+01  0.22683788E+01  0.22683788E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18844000E+01  0.20548865E+01  0.20548865E+01  0.20548865E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19382000E+01  0.18996482E+01  0.18996482E+01  0.18996482E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.19920000E+01  0.18416400E+01  0.18416400E+01  0.18416400E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20459000E+01  0.18617578E+01  0.18617578E+01  0.18617578E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.20997000E+01  0.18679422E+01  0.18679422E+01  0.18679422E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21536000E+01  0.18286844E+01  0.18286844E+01  0.18286844E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22074000E+01  0.18367328E+01  0.18367328E+01  0.18367328E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.22612000E+01  0.19073910E+01  0.19073910E+01  0.19073910E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23151000E+01  0.19532928E+01  0.19532928E+01  0.19532928E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.23689000E+01  0.19325001E+01  0.19325001E+01  0.19325001E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24228000E+01  0.18690439E+01  0.18690439E+01  0.18690439E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.24766000E+01  0.18044722E+01  0.18044722E+01  0.18044722E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25304000E+01  0.17841965E+01  0.17841965E+01  0.17841965E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.25843000E+01  0.18040410E+01  0.18040410E+01  0.18040410E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26381000E+01  0.18070538E+01  0.18070538E+01  0.18070538E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
