   #Energy      xx              yy   
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.83300000E-01 -0.57240082E-01 -0.46725204E-02
  0.16660000E+00 -0.12791281E+00 -0.36697379E-01
  0.24990000E+00 -0.21731658E+00 -0.10191921E+00
  0.33320000E+00 -0.32196465E+00 -0.18508006E+00
  0.41640000E+00 -0.43534113E+00 -0.26812190E+00
  0.49970000E+00 -0.55339516E+00 -0.34058657E+00
  0.58300000E+00 -0.67377658E+00 -0.39099080E+00
  0.66630000E+00 -0.79314884E+00 -0.40405661E+00
  0.74960000E+00 -0.90660292E+00 -0.38004165E+00
  0.83290000E+00 -0.10081920E+01 -0.35061315E+00
  0.91620000E+00 -0.10838905E+01 -0.36104651E+00
  0.99950000E+00 -0.11011662E+01 -0.43336079E+00
  0.10828000E+01 -0.10189819E+01 -0.55003663E+00
  0.11661000E+01 -0.82639854E+00 -0.67378658E+00
  0.12493000E+01 -0.56928267E+00 -0.78063885E+00
  0.13326000E+01 -0.32597602E+00 -0.87627218E+00
  0.14159000E+01 -0.15454915E+00 -0.98277012E+00
  0.14992000E+01 -0.64596431E-01 -0.11076015E+01
  0.15825000E+01 -0.19975743E-01 -0.12075380E+01
  0.16658000E+01  0.47243000E-01 -0.11739294E+01
  0.17491000E+01  0.21256741E+00 -0.87846540E+00
  0.18324000E+01  0.50736259E+00 -0.28031608E+00
  0.19157000E+01  0.86760989E+00  0.49907458E+00
  0.19990000E+01  0.11569578E+01  0.12287249E+01
  0.20822000E+01  0.12674064E+01  0.17140537E+01
  0.21655000E+01  0.11921446E+01  0.19057511E+01
  0.22488000E+01  0.99985199E+00  0.18865885E+01
  0.23321000E+01  0.76653158E+00  0.17760212E+01
  0.24154000E+01  0.53739145E+00  0.16545427E+01
  0.24987000E+01  0.32906251E+00  0.15521920E+01
  0.25820000E+01  0.14454912E+00  0.14671489E+01
  0.26653000E+01 -0.18278354E-01  0.13815814E+01
  0.27486000E+01 -0.16288772E+00  0.12798965E+01
  0.28319000E+01 -0.28589701E+00  0.11638600E+01
  0.29151000E+01 -0.36581976E+00  0.10472815E+01
  0.29984000E+01 -0.36586894E+00  0.93859393E+00
  0.30817000E+01 -0.26884783E+00  0.83744457E+00
  0.31650000E+01 -0.11708726E+00  0.74567461E+00
  0.32483000E+01  0.30175349E-02  0.67202278E+00
  0.33316000E+01  0.30129929E-01  0.62526429E+00
  0.34149000E+01 -0.30136844E-01  0.60273688E+00
  0.34982000E+01 -0.13275905E+00  0.58608963E+00
  0.35815000E+01 -0.24033143E+00  0.55287972E+00
  0.36648000E+01 -0.33954343E+00  0.49484624E+00
  0.37480000E+01 -0.43081355E+00  0.42231402E+00
  0.38313000E+01 -0.51680481E+00  0.34847948E+00
  0.39146000E+01 -0.59873899E+00  0.27476965E+00
  0.39979000E+01 -0.67865732E+00  0.19301263E+00
  0.40812000E+01 -0.76070602E+00  0.97123269E-01
  0.41645000E+01 -0.85053330E+00 -0.10240535E-01
  0.42478000E+01 -0.95203744E+00 -0.12105023E+00
  0.43311000E+01 -0.10653755E+01 -0.22708604E+00
  0.44144000E+01 -0.11857323E+01 -0.32697794E+00
  0.44977000E+01 -0.13043280E+01 -0.42936896E+00
  0.45809000E+01 -0.14160684E+01 -0.54995622E+00
  0.46642000E+01 -0.15289852E+01 -0.70332299E+00
  0.47475000E+01 -0.16634346E+01 -0.89618449E+00
  0.48308000E+01 -0.18426924E+01 -0.11291622E+01
  0.49141000E+01 -0.20806972E+01 -0.14046754E+01
  0.49974000E+01 -0.23714348E+01 -0.17180886E+01
  0.50807000E+01 -0.26729100E+01 -0.20179742E+01
  0.51640000E+01 -0.28983192E+01 -0.21698594E+01
  0.52473000E+01 -0.29553942E+01 -0.20071563E+01
  0.53306000E+01 -0.28339459E+01 -0.14727547E+01
  0.54138000E+01 -0.26515685E+01 -0.70822884E+00
  0.54971000E+01 -0.25764179E+01  0.41903963E-01
  0.55804000E+01 -0.26842231E+01  0.61612870E+00
  0.56637000E+01 -0.28666569E+01  0.10059993E+01
  0.57470000E+01 -0.28441261E+01  0.12772109E+01
  0.58303000E+01 -0.22922868E+01  0.14693574E+01
  0.59136000E+01 -0.10768851E+01  0.15829322E+01
  0.59969000E+01  0.55004143E+00  0.16240723E+01
  0.60802000E+01  0.20466606E+01  0.16172274E+01
  0.61635000E+01  0.29609947E+01  0.15780857E+01
  0.62467000E+01  0.32204517E+01  0.15082480E+01
  0.63300000E+01  0.30589695E+01  0.14162889E+01
  0.64133000E+01  0.27436904E+01  0.13222562E+01
  0.64966000E+01  0.24136729E+01  0.12366568E+01
  0.65799000E+01  0.21043015E+01  0.11530961E+01
  0.66632000E+01  0.18267293E+01  0.10650156E+01
  0.67465000E+01  0.15915043E+01  0.97731712E+00
  0.68298000E+01  0.13946921E+01  0.89850715E+00
  0.69131000E+01  0.12184764E+01  0.82673561E+00
  0.69964000E+01  0.10528968E+01  0.75201455E+00
  0.70796000E+01  0.90042110E+00  0.66791709E+00
  0.71629000E+01  0.75855996E+00  0.57635683E+00
  0.72462000E+01  0.62305203E+00  0.48466202E+00
  0.73295000E+01  0.50405140E+00  0.39791423E+00
  0.74128000E+01  0.41904439E+00  0.31311872E+00
  0.74961000E+01  0.36804482E+00  0.22385809E+00
  0.75794000E+01  0.33071737E+00  0.12880789E+00
  0.76627000E+01  0.27845224E+00  0.34126102E-01
  0.77460000E+01  0.17989276E+00 -0.56084212E-01
  0.78293000E+01  0.11765297E-01 -0.14182530E+00
  0.79125000E+01 -0.22375427E+00 -0.22159239E+00
  0.79958000E+01 -0.49787865E+00 -0.28859048E+00
  0.80791000E+01 -0.78009373E+00 -0.34236711E+00
  0.81624000E+01 -0.10555326E+01 -0.39406846E+00
  0.82457000E+01 -0.13289945E+01 -0.46072110E+00
  0.83290000E+01 -0.16250591E+01 -0.55412671E+00
  0.84123000E+01 -0.19853872E+01 -0.67619924E+00
  0.84956000E+01 -0.24439845E+01 -0.81520310E+00
  0.85789000E+01 -0.29789296E+01 -0.94226903E+00
  0.86622000E+01 -0.34497198E+01 -0.10148462E+01
  0.87454000E+01 -0.35571659E+01 -0.10059561E+01
  0.88287000E+01 -0.29199728E+01 -0.93907098E+00
  0.89120000E+01 -0.13694234E+01 -0.88583968E+00
  0.89953000E+01  0.73485914E+00 -0.90837437E+00
  0.90786000E+01  0.26263347E+01 -0.10021149E+01
  0.91619000E+01  0.37218199E+01 -0.10879089E+01
  0.92452000E+01  0.40239201E+01 -0.10558685E+01
  0.93285000E+01  0.39166807E+01 -0.83854229E+00
  0.94118000E+01  0.37317902E+01 -0.46930244E+00
  0.94951000E+01  0.35790683E+01 -0.66154133E-01
  0.95783000E+01  0.34382302E+01  0.25070974E+00
  0.96616000E+01  0.32793879E+01  0.42605910E+00
  0.97449000E+01  0.30997184E+01  0.47419674E+00
  0.98282000E+01  0.29081694E+01  0.44387849E+00
  0.99115000E+01  0.27099454E+01  0.38345985E+00
  0.99948000E+01  0.25060637E+01  0.32442014E+00
  0.10078100E+02  0.22970270E+01  0.28582043E+00
  0.10161400E+02  0.20872435E+01  0.28540654E+00
  0.10244700E+02  0.18846257E+01  0.34344806E+00
  0.10328000E+02  0.16995985E+01  0.46024327E+00
  0.10411200E+02  0.15389174E+01  0.59906840E+00
  0.10494500E+02  0.14004083E+01  0.69877046E+00
  0.10577800E+02  0.12748223E+01  0.72021249E+00
  0.10661100E+02  0.11540742E+01  0.68452157E+00
  0.10744400E+02  0.10395021E+01  0.66256881E+00
  0.10827700E+02  0.94076379E+00  0.71622300E+00
  0.10911000E+02  0.87049176E+00  0.84634456E+00
  0.10994300E+02  0.84018961E+00  0.99458985E+00
  0.11077600E+02  0.85926739E+00  0.10977678E+01
  0.11160900E+02  0.92976651E+00  0.11438354E+01
  0.11244100E+02  0.10439155E+01  0.11711023E+01
  0.11327400E+02  0.11813257E+01  0.12166076E+01
  0.11410700E+02  0.13131608E+01  0.12798018E+01
  0.11494000E+02  0.14138194E+01  0.13331105E+01
  0.11577300E+02  0.14715135E+01  0.13487819E+01
  0.11660600E+02  0.14907033E+01  0.13196181E+01
  0.11743900E+02  0.14872341E+01  0.12600579E+01
  0.11827200E+02  0.14790407E+01  0.11959645E+01
  0.11910500E+02  0.14780679E+01  0.11458118E+01
  0.11993800E+02  0.14884052E+01  0.11115523E+01
  0.12077000E+02  0.15069795E+01  0.10803264E+01
  0.12160300E+02  0.15256799E+01  0.10392698E+01
  0.12243600E+02  0.15381382E+01  0.98349854E+00
  0.12326900E+02  0.15435510E+01  0.91878839E+00
  0.12410200E+02  0.15400796E+01  0.85650398E+00
  0.12493500E+02  0.15251570E+01  0.80149252E+00
  0.12576800E+02  0.15006196E+01  0.74841983E+00
  0.12660100E+02  0.14693962E+01  0.68938478E+00
  0.12743400E+02  0.14278821E+01  0.62393677E+00
  0.12826700E+02  0.13685266E+01  0.56037746E+00
  0.12909900E+02  0.12913378E+01  0.50722310E+00
  0.12993200E+02  0.12073690E+01  0.46896043E+00
  0.13076500E+02  0.11322205E+01  0.44517095E+00
  0.13159800E+02  0.10761511E+01  0.43326499E+00
  0.13243100E+02  0.10417142E+01  0.42840903E+00
  0.13326400E+02  0.10253278E+01  0.42491392E+00
  0.13409700E+02  0.10207454E+01  0.41731120E+00
  0.13493000E+02  0.10160264E+01  0.40257650E+00
  0.13576300E+02  0.99670434E+00  0.37946727E+00
  0.13659600E+02  0.95131660E+00  0.34932614E+00
  0.13742800E+02  0.88539341E+00  0.31315441E+00
  0.13826100E+02  0.81369688E+00  0.26972125E+00
  0.13909400E+02  0.74601224E+00  0.21282061E+00
  0.13992700E+02  0.68281057E+00  0.14298497E+00
  0.14076000E+02  0.61995698E+00  0.71918086E-01
  0.14159300E+02  0.55940628E+00  0.14313992E-01
  0.14242600E+02  0.50977418E+00 -0.21013592E-01
  0.14325900E+02  0.48105093E+00 -0.28964824E-01
  0.14409200E+02  0.47873006E+00 -0.15747699E-02
  0.14492500E+02  0.50129604E+00  0.62563013E-01
  0.14575700E+02  0.54001568E+00  0.14217227E+00
  0.14659000E+02  0.58235259E+00  0.19345000E+00
  0.14742300E+02  0.61788530E+00  0.18488224E+00
  0.14825600E+02  0.64081994E+00  0.11787522E+00
  0.14908900E+02  0.65012332E+00  0.19145236E-01
  0.14992200E+02  0.64884028E+00 -0.87658977E-01
  0.15075500E+02  0.64338364E+00 -0.19276795E+00
  0.15158800E+02  0.64072607E+00 -0.29737642E+00
  0.15242100E+02  0.64591276E+00 -0.40228996E+00
  0.15325400E+02  0.66284196E+00 -0.49870169E+00
  0.15408600E+02  0.69254236E+00 -0.55655988E+00
  0.15491900E+02  0.72930169E+00 -0.53120930E+00
  0.15575200E+02  0.75705396E+00 -0.39065517E+00
  0.15658500E+02  0.76195853E+00 -0.16086266E+00
  0.15741800E+02  0.74063596E+00  0.68386247E-01
  0.15825100E+02  0.70088495E+00  0.20494723E+00
  0.15908400E+02  0.64980785E+00  0.21732704E+00
  0.15991700E+02  0.59247712E+00  0.14243919E+00
  0.16075000E+02  0.53187844E+00  0.36454096E-01
  0.16158300E+02  0.47061973E+00 -0.66222288E-01
  0.16241500E+02  0.40869848E+00 -0.15930809E+00
  0.16324800E+02  0.34344394E+00 -0.25646787E+00
  0.16408100E+02  0.27481221E+00 -0.37343976E+00
  0.16491400E+02  0.20636700E+00 -0.51096110E+00
  0.16574700E+02  0.14582057E+00 -0.63762537E+00
  0.16658000E+02  0.10604643E+00 -0.69863203E+00
  0.16741300E+02  0.93311808E-01 -0.64998078E+00
  0.16824600E+02  0.97913282E-01 -0.50381670E+00
  0.16907900E+02  0.97012171E-01 -0.33538493E+00
  0.16991200E+02  0.79849051E-01 -0.23211933E+00
