   #Energy      xx              yy   
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.61500000E-01 -0.37528885E+00 -0.37528885E+00
  0.12300000E+00 -0.47573417E+00 -0.47573417E+00
  0.18460000E+00 -0.52556953E+00 -0.52556953E+00
  0.24610000E+00 -0.63326578E+00 -0.63326578E+00
  0.30760000E+00 -0.75429777E+00 -0.75429777E+00
  0.36910000E+00 -0.85905960E+00 -0.85905960E+00
  0.43070000E+00 -0.99494103E+00 -0.99494103E+00
  0.49220000E+00 -0.11854575E+01 -0.11854575E+01
  0.55370000E+00 -0.13644992E+01 -0.13644992E+01
  0.61520000E+00 -0.14724050E+01 -0.14724050E+01
  0.67680000E+00 -0.15065698E+01 -0.15065698E+01
  0.73830000E+00 -0.14691296E+01 -0.14691296E+01
  0.79980000E+00 -0.14049549E+01 -0.14049549E+01
  0.86130000E+00 -0.13787744E+01 -0.13787744E+01
  0.92290000E+00 -0.13422677E+01 -0.13422677E+01
  0.98440000E+00 -0.11742376E+01 -0.11742376E+01
  0.10459000E+01 -0.85663666E+00 -0.85663666E+00
  0.11074000E+01 -0.52504692E+00 -0.52504692E+00
  0.11690000E+01 -0.39985911E+00 -0.39985911E+00
  0.12305000E+01 -0.53213407E+00 -0.53213407E+00
  0.12920000E+01 -0.77968533E+00 -0.77968533E+00
  0.13535000E+01 -0.10247368E+01 -0.10247368E+01
  0.14151000E+01 -0.10892168E+01 -0.10892168E+01
  0.14766000E+01 -0.80941409E+00 -0.80941409E+00
  0.15381000E+01 -0.18621172E+00 -0.18621172E+00
  0.15996000E+01  0.55687731E+00  0.55687731E+00
  0.16612000E+01  0.10925250E+01  0.10925250E+01
  0.17227000E+01  0.13785842E+01  0.13785842E+01
  0.17842000E+01  0.14705239E+01  0.14705239E+01
  0.18457000E+01  0.13581600E+01  0.13581600E+01
  0.19073000E+01  0.11771832E+01  0.11771832E+01
  0.19688000E+01  0.10643592E+01  0.10643592E+01
  0.20303000E+01  0.10125586E+01  0.10125586E+01
  0.20918000E+01  0.92574659E+00  0.92574659E+00
  0.21534000E+01  0.80404713E+00  0.80404713E+00
  0.22149000E+01  0.71826069E+00  0.71826069E+00
  0.22764000E+01  0.66949790E+00  0.66949790E+00
  0.23379000E+01  0.60462583E+00  0.60462583E+00
  0.23995000E+01  0.51776456E+00  0.51776456E+00
  0.24610000E+01  0.46780669E+00  0.46780669E+00
  0.25225000E+01  0.53488771E+00  0.53488771E+00
  0.25840000E+01  0.69305594E+00  0.69305594E+00
  0.26456000E+01  0.80982075E+00  0.80982075E+00
  0.27071000E+01  0.82997469E+00  0.82997469E+00
  0.27686000E+01  0.79059735E+00  0.79059735E+00
  0.28301000E+01  0.70982926E+00  0.70982926E+00
  0.28917000E+01  0.59416557E+00  0.59416557E+00
  0.29532000E+01  0.46862254E+00  0.46862254E+00
  0.30147000E+01  0.38334078E+00  0.38334078E+00
  0.30762000E+01  0.32512175E+00  0.32512175E+00
  0.31378000E+01  0.24283507E+00  0.24283507E+00
  0.31993000E+01  0.16488285E+00  0.16488285E+00
  0.32608000E+01  0.13850875E+00  0.13850875E+00
  0.33223000E+01  0.12759441E+00  0.12759441E+00
  0.33839000E+01  0.66872454E-01  0.66872454E-01
  0.34454000E+01 -0.36816212E-01 -0.36816212E-01
  0.35069000E+01 -0.12638799E+00 -0.12638799E+00
  0.35684000E+01 -0.18763787E+00 -0.18763787E+00
  0.36300000E+01 -0.24830074E+00 -0.24830074E+00
  0.36915000E+01 -0.27335919E+00 -0.27335919E+00
  0.37530000E+01 -0.19245263E+00 -0.19245263E+00
  0.38145000E+01 -0.17801926E-02 -0.17801926E-02
  0.38761000E+01  0.19389974E+00  0.19389974E+00
  0.39376000E+01  0.29104451E+00  0.29104451E+00
  0.39991000E+01  0.26263961E+00  0.26263961E+00
  0.40606000E+01  0.16581646E+00  0.16581646E+00
  0.41222000E+01  0.67863471E-01  0.67863471E-01
  0.41837000E+01 -0.40901402E-01 -0.40901402E-01
  0.42452000E+01 -0.14616447E+00 -0.14616447E+00
  0.43067000E+01 -0.23872735E+00 -0.23872735E+00
  0.43683000E+01 -0.33809890E+00 -0.33809890E+00
  0.44298000E+01 -0.43207563E+00 -0.43207563E+00
  0.44913000E+01 -0.53474547E+00 -0.53474547E+00
  0.45528000E+01 -0.64702317E+00 -0.64702317E+00
  0.46144000E+01 -0.71774626E+00 -0.71774626E+00
  0.46759000E+01 -0.68618908E+00 -0.68618908E+00
  0.47374000E+01 -0.59930683E+00 -0.59930683E+00
  0.47989000E+01 -0.56912950E+00 -0.56912950E+00
  0.48605000E+01 -0.59774968E+00 -0.59774968E+00
  0.49220000E+01 -0.63802622E+00 -0.63802622E+00
  0.49835000E+01 -0.66392266E+00 -0.66392266E+00
  0.50450000E+01 -0.62993871E+00 -0.62993871E+00
  0.51066000E+01 -0.52734551E+00 -0.52734551E+00
  0.51681000E+01 -0.43622221E+00 -0.43622221E+00
  0.52296000E+01 -0.39394763E+00 -0.39394763E+00
  0.52911000E+01 -0.33105763E+00 -0.33105763E+00
  0.53527000E+01 -0.22659096E+00 -0.22659096E+00
  0.54142000E+01 -0.20876250E+00 -0.20876250E+00
  0.54757000E+01 -0.33141667E+00 -0.33141667E+00
  0.55372000E+01 -0.50426785E+00 -0.50426785E+00
  0.55988000E+01 -0.65025400E+00 -0.65025400E+00
  0.56603000E+01 -0.72462115E+00 -0.72462115E+00
  0.57218000E+01 -0.69699753E+00 -0.69699753E+00
  0.57833000E+01 -0.56986417E+00 -0.56986417E+00
