   #Energy      xx              yy   
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.53800000E-01 -0.59050500E+00 -0.59050500E+00
  0.10770000E+00 -0.76986094E+00 -0.76986094E+00
  0.16150000E+00 -0.63922168E+00 -0.63922168E+00
  0.21540000E+00 -0.42016486E+00 -0.42016486E+00
  0.26920000E+00 -0.31492470E+00 -0.31492470E+00
  0.32300000E+00 -0.33661133E+00 -0.33661133E+00
  0.37690000E+00 -0.40601420E+00 -0.40601420E+00
  0.43070000E+00 -0.52163911E+00 -0.52163911E+00
  0.48460000E+00 -0.70118124E+00 -0.70118124E+00
  0.53840000E+00 -0.90182065E+00 -0.90182065E+00
  0.59220000E+00 -0.10434170E+01 -0.10434170E+01
  0.64610000E+00 -0.10385133E+01 -0.10385133E+01
  0.69990000E+00 -0.94643519E+00 -0.94643519E+00
  0.75370000E+00 -0.92306158E+00 -0.92306158E+00
  0.80760000E+00 -0.97877538E+00 -0.97877538E+00
  0.86140000E+00 -0.11097018E+01 -0.11097018E+01
  0.91530000E+00 -0.13160691E+01 -0.13160691E+01
  0.96910000E+00 -0.14602515E+01 -0.14602515E+01
  0.10229000E+01 -0.14463263E+01 -0.14463263E+01
  0.10768000E+01 -0.12426570E+01 -0.12426570E+01
  0.11306000E+01 -0.76735386E+00 -0.76735386E+00
  0.11845000E+01 -0.71886298E-01 -0.71886298E-01
  0.12383000E+01  0.61169770E+00  0.61169770E+00
  0.12921000E+01  0.10620182E+01  0.10620182E+01
  0.13460000E+01  0.12246963E+01  0.12246963E+01
  0.13998000E+01  0.12201340E+01  0.12201340E+01
  0.14537000E+01  0.11609641E+01  0.11609641E+01
  0.15075000E+01  0.11125506E+01  0.11125506E+01
  0.15613000E+01  0.10986634E+01  0.10986634E+01
  0.16152000E+01  0.10741545E+01  0.10741545E+01
  0.16690000E+01  0.99892900E+00  0.99892900E+00
  0.17228000E+01  0.88025300E+00  0.88025300E+00
  0.17767000E+01  0.73813680E+00  0.73813680E+00
  0.18305000E+01  0.58360239E+00  0.58360239E+00
  0.18844000E+01  0.42547329E+00  0.42547329E+00
  0.19382000E+01  0.27079806E+00  0.27079806E+00
  0.19920000E+01  0.14869861E+00  0.14869861E+00
  0.20459000E+01  0.98652600E-01  0.98652600E-01
  0.20997000E+01  0.92051781E-01  0.92051781E-01
  0.21536000E+01  0.50848063E-01  0.50848063E-01
  0.22074000E+01  0.20079680E-02  0.20079680E-02
  0.22612000E+01  0.32073193E-01  0.32073193E-01
  0.23151000E+01  0.11560293E+00  0.11560293E+00
  0.23689000E+01  0.17202783E+00  0.17202783E+00
  0.24228000E+01  0.17397215E+00  0.17397215E+00
  0.24766000E+01  0.13720434E+00  0.13720434E+00
