     #Energy   up_In_all   dw_In_all   up_Co_all   dw_Co_all    up_O_all    dw_O_all
   -17.68278     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.66878     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.65378     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.63978     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.62578     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.61178     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.59778     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.58378     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.56978     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.55478     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.54078     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.52678     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.51278     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.49878     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.48478     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.47078     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.45678     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.44178     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.42778     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.41378     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.39978     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.38578     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.37178     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.35778     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.34378     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.32878     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.31478     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.30078     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.28678     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.27278     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.25878     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.24478     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.23078     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.21578     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
