     #Energy   up_In_all   dw_In_all   up_Co_all   dw_Co_all    up_O_all    dw_O_all
   -22.26349     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.24349     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.22449     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.20449     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.18549     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.16549     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.14649     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.12649     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.10749     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.08749     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.06849     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.04949     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.02949     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.01049     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.99049     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.97149     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.95149     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.93249     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.91249     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.89349     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.87349     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.85449     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.83449     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.81549     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.79549     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.77649     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.75749     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.73749     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.71849     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.69849     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.67949     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.65949     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.64049     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.62049     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.60149     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.58149     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.56249     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.54249     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.52349     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.50449     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.48449     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.46549     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.44549     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.42649     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.40649     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.38749     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.36749     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.34849     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.32849     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.30949     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.28949     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.27049     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.25049     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.23149     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.21249     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.19249     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.17349     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.15349     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.13449     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.11449     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.09549     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.07549     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.05649     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.03649     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.01749     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.99749     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.97849     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.95849     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.93949     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.92049     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.90049     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.88149     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.86149     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.84249     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.82249     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.80349     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.78349     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.76449     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.74449     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.72549     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.70549     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.68649     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.66649     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.64749     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.62849     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.60849     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.58949     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.56949     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.55049     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.53049     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.51149     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.49149     0.00173     0.00000     0.00650     0.00000     0.03895     0.00000
   -20.47249     0.00197     0.00000     0.00747     0.00000     0.04493     0.00000
   -20.45249     0.00293     0.00000     0.01114     0.00000     0.06715     0.00000
   -20.43349     0.00349     0.00000     0.01336     0.00000     0.08088     0.00000
   -20.41349     0.00393     0.00000     0.01516     0.00000     0.09209     0.00000
   -20.39449     0.00430    -0.00244     0.01669    -0.00903     0.10171    -0.05417
   -20.37549     0.00460    -0.00281     0.01798    -0.01047     0.10992    -0.06303
   -20.35549     0.00506    -0.00391     0.01986    -0.01460     0.12177    -0.08804
   -20.33649     0.00555    -0.00392     0.02192    -0.01480     0.13473    -0.08981
   -20.31649     0.00586    -0.00430     0.02333    -0.01636     0.14391    -0.09958
   -20.29749     0.00614    -0.00461     0.02460    -0.01765     0.15228    -0.10776
   -20.27749     0.00637    -0.00504     0.02568    -0.01940     0.15942    -0.11879
   -20.25849     0.00657    -0.00553     0.02673    -0.02140     0.16657    -0.13143
   -20.23849     0.00685    -0.00588     0.02805    -0.02293     0.17540    -0.14133
   -20.21949     0.00715    -0.00617     0.02947    -0.02423     0.18479    -0.14982
   -20.19949     0.00747    -0.00641     0.03097    -0.02533     0.19467    -0.15708
   -20.18049     0.00780    -0.00660     0.03248    -0.02630     0.20467    -0.16375
   -20.16049     0.00803    -0.00688     0.03371    -0.02759     0.21305    -0.17233
   -20.14149     0.00826    -0.00718     0.03493    -0.02897     0.22150    -0.18149
   -20.12149     0.00848    -0.00750     0.03615    -0.03043     0.23003    -0.19116
   -20.10249     0.00869    -0.00783     0.03739    -0.03192     0.23878    -0.20101
   -20.08349     0.00894    -0.00816     0.03875    -0.03343     0.24816    -0.21101
   -20.06349     0.00920    -0.00832     0.04013    -0.03440     0.25772    -0.21792
   -20.04449     0.00947    -0.00854     0.04153    -0.03560     0.26739    -0.22633
   -20.02449     0.00974    -0.00874     0.04294    -0.03679     0.27719    -0.23475
   -20.00549     0.01000    -0.00899     0.04437    -0.03811     0.28705    -0.24392
   -19.98549     0.01030    -0.00925     0.04596    -0.03945     0.29836    -0.25324
   -19.96649     0.01057    -0.00952     0.04767    -0.04082     0.31030    -0.26274
   -19.94649     0.01086    -0.00978     0.04941    -0.04220     0.32267    -0.27232
   -19.92749     0.01114    -0.01005     0.05119    -0.04359     0.33503    -0.28197
   -19.90749     0.01144    -0.01034     0.05297    -0.04512     0.34769    -0.29277
   -19.88849     0.01174    -0.01062     0.05477    -0.04675     0.36036    -0.30429
   -19.86849     0.01205    -0.01091     0.05659    -0.04843     0.37302    -0.31605
   -19.84949     0.01237    -0.01119     0.05847    -0.05015     0.38628    -0.32842
   -19.82949     0.01271    -0.01149     0.06047    -0.05187     0.40076    -0.34048
   -19.81049     0.01306    -0.01179     0.06250    -0.05362     0.41523    -0.35284
   -19.79149     0.01361    -0.01209     0.06614    -0.05537     0.43994    -0.36521
   -19.77149     0.01416    -0.01241     0.06977    -0.05717     0.46464    -0.37787
   -19.75249     0.01476    -0.01274     0.07374    -0.05909     0.49175    -0.39174
   -19.73249     0.01534    -0.01310     0.07748    -0.06106     0.51736    -0.40592
   -19.71349     0.01593    -0.01357     0.08129    -0.06398     0.54327    -0.42611
   -19.69349     0.01654    -0.01410     0.08515    -0.06730     0.57008    -0.44901
   -19.67449     0.01910    -0.01468     0.10392    -0.07102     0.69199    -0.47462
   -19.65449     0.01890    -0.01527     0.10106    -0.07476     0.67668    -0.50023
   -19.63549     0.01875    -0.01586     0.09818    -0.07842     0.66138    -0.52554
   -19.61549     0.01883    -0.01646     0.09740    -0.08212     0.65901    -0.55115
   -19.59649     0.01890    -0.01900     0.09657    -0.10047     0.65633    -0.67066
   -19.57649     0.01906    -0.01891     0.09626    -0.09836     0.65666    -0.65987
   -19.55749     0.01923    -0.01949     0.09601    -0.10135     0.65759    -0.68188
   -19.53849     0.01918    -0.01918     0.09390    -0.09718     0.64678    -0.65844
   -19.51849     0.01934    -0.01926     0.09307    -0.09636     0.64410    -0.65547
   -19.49949     0.01947    -0.01935     0.09209    -0.09554     0.64020    -0.65279
   -19.47949     0.01969    -0.01956     0.09157    -0.09547     0.63962    -0.65492
   -19.46049     0.01985    -0.01973     0.09088    -0.09510     0.63723    -0.65495
   -19.44049     0.01999    -0.01973     0.09009    -0.09296     0.63453    -0.64414
   -19.42149     0.02013    -0.01987     0.08920    -0.09193     0.63093    -0.63995
   -19.40149     0.02028    -0.02007     0.08767    -0.09114     0.62341    -0.63786
   -19.38249     0.02049    -0.02026     0.08674    -0.09053     0.61951    -0.63607
   -19.36249     0.02077    -0.02042     0.08605    -0.08979     0.61740    -0.63368
   -19.34349     0.02099    -0.02058     0.08531    -0.08896     0.61469    -0.63038
   -19.32349     0.02120    -0.02070     0.08449    -0.08746     0.61108    -0.62286
   -19.30449     0.02140    -0.02091     0.08359    -0.08646     0.60686    -0.61896
   -19.28449     0.02159    -0.02120     0.08262    -0.08563     0.60234    -0.61595
   -19.26549     0.02203    -0.02145     0.08190    -0.08490     0.59993    -0.61325
   -19.24649     0.02234    -0.02169     0.08104    -0.08411     0.59600    -0.60993
   -19.22649     0.02264    -0.02190     0.08012    -0.08322     0.59117    -0.60602
   -19.20749     0.02286    -0.02210     0.07911    -0.08227     0.58574    -0.60180
   -19.18749     0.02306    -0.02237     0.07804    -0.08133     0.58000    -0.59758
   -19.16849     0.02326    -0.02281     0.07693    -0.08055     0.57396    -0.59456
   -19.14849     0.02352    -0.02315     0.07583    -0.07964     0.56822    -0.59033
   -19.12949     0.02461    -0.02343     0.07670    -0.07865     0.57543    -0.58520
   -19.10949     0.02495    -0.02366     0.07571    -0.07760     0.56938    -0.57947
   -19.09049     0.02498    -0.02387     0.07393    -0.07650     0.55821    -0.57343
   -19.07049     0.02459    -0.02412     0.07108    -0.07538     0.53921    -0.56768
   -19.05149     0.02404    -0.02437     0.06786    -0.07424     0.51779    -0.56134
   -19.03149     0.02498    -0.02554     0.06837    -0.07508     0.52198    -0.56855
   -19.01249     0.02102    -0.02584     0.05627    -0.07392     0.44002    -0.56160
   -18.99249     0.01873    -0.02575     0.04885    -0.07182     0.38938    -0.54801
   -18.97349     0.01772    -0.02534     0.04527    -0.06898     0.36436    -0.52901
   -18.95449     0.01677    -0.02477     0.04189    -0.06580     0.34085    -0.50759
   -18.93449     0.01587    -0.02574     0.03871    -0.06614     0.31884    -0.51118
   -18.91549     0.01487    -0.02157     0.03520    -0.05421     0.29457    -0.42890
   -18.89549     0.01443    -0.01929     0.03300    -0.04733     0.27993    -0.38127
   -18.87649     0.01369    -0.01824     0.03065    -0.04382     0.26269    -0.35685
   -18.85649     0.01299    -0.01726     0.02844    -0.04052     0.24635    -0.33333
   -18.83749     0.01232    -0.01633     0.02631    -0.03740     0.23065    -0.31132
   -18.81749     0.01168    -0.01562     0.02429    -0.03429     0.21557    -0.29107
   -18.79849     0.01116    -0.01483     0.02237    -0.03188     0.20188    -0.27328
   -18.77849     0.01068    -0.01407     0.02075    -0.02958     0.18991    -0.25622
   -18.75949     0.01001    -0.01335     0.01902    -0.02739     0.17599    -0.23988
   -18.73949     0.00937    -0.01265     0.01736    -0.02530     0.16255    -0.22420
   -18.72049     0.00874    -0.01201     0.01576    -0.02321     0.14957    -0.20915
   -18.70049     0.00836    -0.01162     0.01447    -0.02164     0.14013    -0.19796
