     #Energy   up_In_all   dw_In_all   up_Fe_all   dw_Fe_all    up_O_all    dw_O_all
   -22.14779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.13079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.11379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.09679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.08079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.06379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.04679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.02979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.01379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.99679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.97979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.96279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.94679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.92979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.91279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.89579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.87979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.86279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.84579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.82879     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.81279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.79579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.77879     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.76179     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.74479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.72879     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.71179     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.69479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.67779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.66179     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.64479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.62779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.61079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.59479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.57779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.56079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.54379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.52779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.51079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.49379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.47679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.45979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.44379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.42679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.40979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.39279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.37679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.35979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.34279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.32579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.30979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.29279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.27579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.25879     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.24279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.22579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.20879     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.19179     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.17479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.15879     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.14179     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.12479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.10779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.09179     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.07479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.05779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.04079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.02479     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.00779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.99079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.97379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.95779     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.94079     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.92379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.90679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.88979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.87379     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.85679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.83979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.82279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.80679     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.78979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.77279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.75579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.73979     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.72279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.70579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.68879     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.67279     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.65579     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.63879     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.62179     0.00181    -0.00181     0.00717    -0.00717     0.04105    -0.04105
   -20.60479     0.00184    -0.00184     0.00735    -0.00735     0.04226    -0.04226
   -20.58879     0.00264    -0.00264     0.01056    -0.01056     0.06087    -0.06087
   -20.57179     0.00356    -0.00356     0.01426    -0.01426     0.08224    -0.08224
   -20.55479     0.00370    -0.00370     0.01499    -0.01499     0.08689    -0.08689
   -20.53779     0.00407    -0.00407     0.01658    -0.01658     0.09629    -0.09629
   -20.52179     0.00438    -0.00438     0.01795    -0.01795     0.10456    -0.10456
   -20.50479     0.00466    -0.00466     0.01917    -0.01917     0.11193    -0.11193
   -20.48779     0.00505    -0.00505     0.02088    -0.02088     0.12224    -0.12224
   -20.47079     0.00547    -0.00547     0.02273    -0.02273     0.13334    -0.13334
   -20.45479     0.00591    -0.00591     0.02470    -0.02470     0.14528    -0.14528
   -20.43779     0.00603    -0.00603     0.02537    -0.02537     0.14974    -0.14974
   -20.42079     0.00625    -0.00625     0.02647    -0.02647     0.15664    -0.15664
   -20.40379     0.00643    -0.00643     0.02743    -0.02743     0.16266    -0.16266
   -20.38779     0.00662    -0.00662     0.02844    -0.02844     0.16930    -0.16930
   -20.37079     0.00687    -0.00687     0.02968    -0.02968     0.17716    -0.17716
   -20.35379     0.00713    -0.00713     0.03099    -0.03099     0.18544    -0.18544
   -20.33679     0.00741    -0.00741     0.03238    -0.03238     0.19420    -0.19420
   -20.31979     0.00770    -0.00770     0.03378    -0.03378     0.20308    -0.20308
   -20.30379     0.00799    -0.00799     0.03520    -0.03520     0.21206    -0.21206
   -20.28679     0.00815    -0.00815     0.03622    -0.03622     0.21878    -0.21878
   -20.26979     0.00836    -0.00836     0.03740    -0.03740     0.22656    -0.22656
   -20.25279     0.00855    -0.00855     0.03857    -0.03857     0.23437    -0.23437
   -20.23679     0.00874    -0.00874     0.03976    -0.03976     0.24233    -0.24233
   -20.21979     0.00897    -0.00897     0.04104    -0.04104     0.25083    -0.25083
   -20.20279     0.00920    -0.00920     0.04234    -0.04234     0.25942    -0.25942
   -20.18579     0.00943    -0.00943     0.04367    -0.04367     0.26816    -0.26816
   -20.16979     0.00967    -0.00967     0.04502    -0.04502     0.27699    -0.27699
   -20.15279     0.00991    -0.00991     0.04636    -0.04636     0.28588    -0.28588
   -20.13579     0.01015    -0.01015     0.04777    -0.04777     0.29531    -0.29531
   -20.11879     0.01040    -0.01040     0.04933    -0.04933     0.30571    -0.30571
   -20.10279     0.01065    -0.01065     0.05095    -0.05095     0.31657    -0.31657
   -20.08579     0.01091    -0.01091     0.05263    -0.05263     0.32772    -0.32772
   -20.06879     0.01117    -0.01117     0.05437    -0.05437     0.33947    -0.33947
   -20.05179     0.01144    -0.01144     0.05609    -0.05609     0.35092    -0.35092
   -20.03479     0.01171    -0.01171     0.05783    -0.05783     0.36268    -0.36268
   -20.01879     0.01199    -0.01199     0.05960    -0.05960     0.37443    -0.37443
   -20.00179     0.01227    -0.01227     0.06137    -0.06137     0.38618    -0.38618
   -19.98479     0.01255    -0.01255     0.06322    -0.06322     0.39854    -0.39854
   -19.96779     0.01286    -0.01286     0.06516    -0.06516     0.41210    -0.41210
   -19.95179     0.01318    -0.01318     0.06714    -0.06714     0.42536    -0.42536
   -19.93479     0.01372    -0.01372     0.07107    -0.07107     0.45065    -0.45065
   -19.91779     0.01423    -0.01423     0.07462    -0.07462     0.47384    -0.47384
   -19.90079     0.01477    -0.01477     0.07855    -0.07855     0.49943    -0.49943
   -19.88479     0.01530    -0.01530     0.08224    -0.08224     0.52352    -0.52352
   -19.86779     0.01583    -0.01583     0.08594    -0.08594     0.54761    -0.54761
   -19.85079     0.01638    -0.01638     0.08969    -0.08969     0.57200    -0.57200
   -19.83379     0.01886    -0.01886     0.10949    -0.10949     0.69445    -0.69445
   -19.81779     0.01850    -0.01850     0.10538    -0.10538     0.67193    -0.67193
   -19.80079     0.01896    -0.01896     0.10806    -0.10806     0.69061    -0.69061
   -19.78379     0.01866    -0.01866     0.10418    -0.10418     0.66989    -0.66989
   -19.76679     0.01873    -0.01873     0.10359    -0.10359     0.66872    -0.66872
   -19.74979     0.01880    -0.01880     0.10293    -0.10293     0.66664    -0.66664
   -19.73379     0.01891    -0.01891     0.10254    -0.10254     0.66667    -0.66667
   -19.71679     0.01906    -0.01906     0.10242    -0.10242     0.66789    -0.66789
   -19.69979     0.01918    -0.01918     0.10205    -0.10205     0.66792    -0.66792
   -19.68279     0.01910    -0.01910     0.09985    -0.09985     0.65651    -0.65651
   -19.66679     0.01924    -0.01924     0.09925    -0.09925     0.65532    -0.65532
   -19.64979     0.01936    -0.01936     0.09847    -0.09847     0.65263    -0.65263
   -19.63279     0.01955    -0.01955     0.09805    -0.09805     0.65235    -0.65235
   -19.61579     0.01970    -0.01970     0.09753    -0.09753     0.65116    -0.65116
   -19.59979     0.01983    -0.01983     0.09691    -0.09691     0.64936    -0.64936
   -19.58279     0.01996    -0.01996     0.09620    -0.09620     0.64667    -0.64667
   -19.56579     0.02007    -0.02007     0.09494    -0.09494     0.64096    -0.64096
   -19.54879     0.02024    -0.02024     0.09413    -0.09413     0.63796    -0.63796
   -19.53279     0.02043    -0.02043     0.09340    -0.09340     0.63555    -0.63555
   -19.51579     0.02068    -0.02068     0.09289    -0.09289     0.63435    -0.63435
   -19.49879     0.02088    -0.02088     0.09231    -0.09231     0.63225    -0.63225
   -19.48179     0.02108    -0.02108     0.09166    -0.09166     0.63014    -0.63014
   -19.46579     0.02127    -0.02127     0.09094    -0.09094     0.62713    -0.62713
   -19.44879     0.02145    -0.02145     0.09016    -0.09016     0.62381    -0.62381
   -19.43179     0.02183    -0.02183     0.08961    -0.08961     0.62231    -0.62231
   -19.41479     0.02212    -0.02212     0.08898    -0.08898     0.62019    -0.62019
   -19.39779     0.02241    -0.02241     0.08831    -0.08831     0.61717    -0.61717
   -19.38179     0.02268    -0.02268     0.08757    -0.08757     0.61385    -0.61385
   -19.36479     0.02289    -0.02289     0.08672    -0.08672     0.60962    -0.60962
   -19.34779     0.02309    -0.02309     0.08582    -0.08582     0.60509    -0.60509
   -19.33079     0.02328    -0.02328     0.08489    -0.08489     0.60026    -0.60026
   -19.31479     0.02346    -0.02346     0.08391    -0.08391     0.59512    -0.59512
   -19.29779     0.02469    -0.02469     0.08553    -0.08553     0.60744    -0.60744
   -19.28079     0.02502    -0.02502     0.08471    -0.08471     0.60321    -0.60321
   -19.26379     0.02511    -0.02511     0.08324    -0.08324     0.59445    -0.59445
   -19.24779     0.02484    -0.02484     0.08070    -0.08070     0.57847    -0.57847
   -19.23079     0.02431    -0.02431     0.07744    -0.07744     0.55767    -0.55767
   -19.21379     0.02543    -0.02543     0.07895    -0.07895     0.56818    -0.56818
   -19.19679     0.02138    -0.02138     0.06566    -0.06566     0.48146    -0.48146
   -19.18079     0.01993    -0.01993     0.06012    -0.06012     0.44531    -0.44531
   -19.16379     0.01833    -0.01833     0.05371    -0.05371     0.40494    -0.40494
   -19.14679     0.01746    -0.01746     0.05040    -0.05040     0.38295    -0.38295
   -19.12979     0.01665    -0.01665     0.04727    -0.04727     0.36186    -0.36186
   -19.11279     0.01588    -0.01588     0.04429    -0.04429     0.34227    -0.34227
   -19.09679     0.01516    -0.01516     0.04147    -0.04147     0.32359    -0.32359
   -19.07979     0.01435    -0.01435     0.03832    -0.03832     0.30280    -0.30280
   -19.06279     0.01388    -0.01388     0.03626    -0.03626     0.28884    -0.28884
   -19.04579     0.01349    -0.01349     0.03429    -0.03429     0.27629    -0.27629
   -19.02979     0.01292    -0.01292     0.03227    -0.03227     0.26222    -0.26222
