   #Energy      xx              yy   
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.67300000E-01  0.13382719E+01  0.13382719E+01
  0.13460000E+00  0.13261796E+01  0.13261796E+01
  0.20190000E+00  0.13028359E+01  0.13028359E+01
  0.26910000E+00  0.12648967E+01  0.12648967E+01
  0.33640000E+00  0.12130642E+01  0.12130642E+01
  0.40370000E+00  0.11514127E+01  0.11514127E+01
  0.47100000E+00  0.10905987E+01  0.10905987E+01
  0.53830000E+00  0.10452597E+01  0.10452597E+01
  0.60560000E+00  0.10288184E+01  0.10288184E+01
  0.67280000E+00  0.10462131E+01  0.10462131E+01
  0.74010000E+00  0.10895524E+01  0.10895524E+01
  0.80740000E+00  0.11386139E+01  0.11386139E+01
  0.87470000E+00  0.11704999E+01  0.11704999E+01
  0.94200000E+00  0.11704092E+01  0.11704092E+01
  0.10093000E+01  0.11369052E+01  0.11369052E+01
  0.10766000E+01  0.10786237E+01  0.10786237E+01
  0.11438000E+01  0.10071047E+01  0.10071047E+01
  0.12111000E+01  0.93263951E+00  0.93263951E+00
  0.12784000E+01  0.86286089E+00  0.86286089E+00
  0.13457000E+01  0.80367601E+00  0.80367601E+00
  0.14130000E+01  0.75920341E+00  0.75920341E+00
  0.14803000E+01  0.73151455E+00  0.73151455E+00
  0.15476000E+01  0.72075567E+00  0.72075567E+00
  0.16148000E+01  0.72540305E+00  0.72540305E+00
  0.16821000E+01  0.74294647E+00  0.74294647E+00
  0.17494000E+01  0.76977839E+00  0.76977839E+00
  0.18167000E+01  0.80202593E+00  0.80202593E+00
  0.18840000E+01  0.83630383E+00  0.83630383E+00
  0.19513000E+01  0.87062068E+00  0.87062068E+00
  0.20185000E+01  0.90451322E+00  0.90451322E+00
  0.20858000E+01  0.93816770E+00  0.93816770E+00
  0.21531000E+01  0.97019435E+00  0.97019435E+00
  0.22204000E+01  0.99654625E+00  0.99654625E+00
  0.22877000E+01  0.10126810E+01  0.10126810E+01
  0.23550000E+01  0.10177448E+01  0.10177448E+01
  0.24223000E+01  0.10176091E+01  0.10176091E+01
  0.24895000E+01  0.10227174E+01  0.10227174E+01
  0.25568000E+01  0.10434725E+01  0.10434725E+01
  0.26241000E+01  0.10870484E+01  0.10870484E+01
  0.26914000E+01  0.11586128E+01  0.11586128E+01
  0.27587000E+01  0.12629218E+01  0.12629218E+01
  0.28260000E+01  0.14015078E+01  0.14015078E+01
  0.28933000E+01  0.15665943E+01  0.15665943E+01
  0.29605000E+01  0.17373471E+01  0.17373471E+01
  0.30278000E+01  0.18832943E+01  0.18832943E+01
