   #Energy      xx              yy   
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.61500000E-01  0.16960652E+00  0.16960652E+00
  0.12300000E+00  0.38245828E+00  0.38245828E+00
  0.18460000E+00  0.45174246E+00  0.45174246E+00
  0.24610000E+00  0.48885244E+00  0.48885244E+00
  0.30760000E+00  0.55525996E+00  0.55525996E+00
  0.36910000E+00  0.62006977E+00  0.62006977E+00
  0.43070000E+00  0.66589090E+00  0.66589090E+00
  0.49220000E+00  0.76125915E+00  0.76125915E+00
  0.55370000E+00  0.95036665E+00  0.95036665E+00
  0.61520000E+00  0.11962861E+01  0.11962861E+01
  0.67680000E+00  0.14525584E+01  0.14525584E+01
  0.73830000E+00  0.16895635E+01  0.16895635E+01
  0.79980000E+00  0.18629184E+01  0.18629184E+01
  0.86130000E+00  0.20244761E+01  0.20244761E+01
  0.92290000E+00  0.22570566E+01  0.22570566E+01
  0.98440000E+00  0.25294908E+01  0.25294908E+01
  0.10459000E+01  0.26840693E+01  0.26840693E+01
  0.11074000E+01  0.26111292E+01  0.26111292E+01
  0.11690000E+01  0.23569207E+01  0.23569207E+01
  0.12305000E+01  0.21784675E+01  0.21784675E+01
  0.12920000E+01  0.21940534E+01  0.21940534E+01
  0.13535000E+01  0.24482075E+01  0.24482075E+01
  0.14151000E+01  0.29386389E+01  0.29386389E+01
  0.14766000E+01  0.34966451E+01  0.34966451E+01
  0.15381000E+01  0.38577484E+01  0.38577484E+01
  0.15996000E+01  0.38090351E+01  0.38090351E+01
  0.16612000E+01  0.34227503E+01  0.34227503E+01
  0.17227000E+01  0.29679606E+01  0.29679606E+01
  0.17842000E+01  0.24854337E+01  0.24854337E+01
  0.18457000E+01  0.20985088E+01  0.20985088E+01
  0.19073000E+01  0.18918419E+01  0.18918419E+01
  0.19688000E+01  0.18035033E+01  0.18035033E+01
  0.20303000E+01  0.17002150E+01  0.17002150E+01
  0.20918000E+01  0.15789583E+01  0.15789583E+01
  0.21534000E+01  0.15138521E+01  0.15138521E+01
  0.22149000E+01  0.15052607E+01  0.15052607E+01
  0.22764000E+01  0.14859333E+01  0.14859333E+01
  0.23379000E+01  0.14581112E+01  0.14581112E+01
  0.23995000E+01  0.14708128E+01  0.14708128E+01
  0.24610000E+01  0.15576592E+01  0.15576592E+01
  0.25225000E+01  0.16620428E+01  0.16620428E+01
  0.25840000E+01  0.16596291E+01  0.16596291E+01
  0.26456000E+01  0.15271258E+01  0.15271258E+01
  0.27071000E+01  0.13631642E+01  0.13631642E+01
  0.27686000E+01  0.12164047E+01  0.12164047E+01
  0.28301000E+01  0.10922640E+01  0.10922640E+01
  0.28917000E+01  0.10052837E+01  0.10052837E+01
  0.29532000E+01  0.97536031E+00  0.97536031E+00
  0.30147000E+01  0.98689086E+00  0.98689086E+00
  0.30762000E+01  0.97670187E+00  0.97670187E+00
  0.31378000E+01  0.96629069E+00  0.96629069E+00
  0.31993000E+01  0.99745756E+00  0.99745756E+00
  0.32608000E+01  0.10359951E+01  0.10359951E+01
  0.33223000E+01  0.10218513E+01  0.10218513E+01
  0.33839000E+01  0.98378202E+00  0.98378202E+00
  0.34454000E+01  0.98580398E+00  0.98580398E+00
  0.35069000E+01  0.10417768E+01  0.10417768E+01
  0.35684000E+01  0.11093748E+01  0.11093748E+01
  0.36300000E+01  0.11962599E+01  0.11962599E+01
  0.36915000E+01  0.13399442E+01  0.13399442E+01
  0.37530000E+01  0.15016016E+01  0.15016016E+01
  0.38145000E+01  0.15779873E+01  0.15779873E+01
  0.38761000E+01  0.14996431E+01  0.14996431E+01
  0.39376000E+01  0.13228490E+01  0.13228490E+01
  0.39991000E+01  0.11375043E+01  0.11375043E+01
  0.40606000E+01  0.10247294E+01  0.10247294E+01
  0.41222000E+01  0.95834763E+00  0.95834763E+00
  0.41837000E+01  0.91558545E+00  0.91558545E+00
  0.42452000E+01  0.90994984E+00  0.90994984E+00
  0.43067000E+01  0.91238968E+00  0.91238968E+00
  0.43683000E+01  0.92723246E+00  0.92723246E+00
  0.44298000E+01  0.96078195E+00  0.96078195E+00
  0.44913000E+01  0.10018392E+01  0.10018392E+01
  0.45528000E+01  0.10908030E+01  0.10908030E+01
  0.46144000E+01  0.12392642E+01  0.12392642E+01
  0.46759000E+01  0.13984141E+01  0.13984141E+01
  0.47374000E+01  0.14584327E+01  0.14584327E+01
  0.47989000E+01  0.14506836E+01  0.14506836E+01
  0.48605000E+01  0.14603489E+01  0.14603489E+01
  0.49220000E+01  0.15122924E+01  0.15122924E+01
  0.49835000E+01  0.16033670E+01  0.16033670E+01
  0.50450000E+01  0.17248418E+01  0.17248418E+01
  0.51066000E+01  0.17971412E+01  0.17971412E+01
  0.51681000E+01  0.17935844E+01  0.17935844E+01
  0.52296000E+01  0.17821480E+01  0.17821480E+01
  0.52911000E+01  0.17956556E+01  0.17956556E+01
  0.53527000E+01  0.17383028E+01  0.17383028E+01
  0.54142000E+01  0.15807921E+01  0.15807921E+01
  0.54757000E+01  0.14612382E+01  0.14612382E+01
  0.55372000E+01  0.14575114E+01  0.14575114E+01
  0.55988000E+01  0.15550414E+01  0.15550414E+01
  0.56603000E+01  0.17214648E+01  0.17214648E+01
  0.57218000E+01  0.19053599E+01  0.19053599E+01
  0.57833000E+01  0.20341722E+01  0.20341722E+01
  0.58449000E+01  0.20415417E+01  0.20415417E+01
  0.59064000E+01  0.19589900E+01  0.19589900E+01
  0.59679000E+01  0.18986661E+01  0.18986661E+01
  0.60294000E+01  0.18961578E+01  0.18961578E+01
  0.60910000E+01  0.19461617E+01  0.19461617E+01
  0.61525000E+01  0.20409611E+01  0.20409611E+01
  0.62140000E+01  0.21355129E+01  0.21355129E+01
  0.62755000E+01  0.22018412E+01  0.22018412E+01
  0.63371000E+01  0.22588930E+01  0.22588930E+01
  0.63986000E+01  0.22756150E+01  0.22756150E+01
  0.64601000E+01  0.21932661E+01  0.21932661E+01
  0.65216000E+01  0.20757683E+01  0.20757683E+01
  0.65832000E+01  0.20313331E+01  0.20313331E+01
  0.66447000E+01  0.20733001E+01  0.20733001E+01
  0.67062000E+01  0.21674949E+01  0.21674949E+01
  0.67677000E+01  0.22244020E+01  0.22244020E+01
  0.68293000E+01  0.21620019E+01  0.21620019E+01
  0.68908000E+01  0.20737951E+01  0.20737951E+01
