   #Energy      xx              yy   
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.53800000E-01  0.26657124E+00  0.26657124E+00
  0.10770000E+00  0.74896133E+00  0.74896133E+00
  0.16150000E+00  0.10909030E+01  0.10909030E+01
  0.21540000E+00  0.11788642E+01  0.11788642E+01
  0.26920000E+00  0.10960744E+01  0.10960744E+01
  0.32300000E+00  0.10068698E+01  0.10068698E+01
  0.37690000E+00  0.94796318E+00  0.94796318E+00
  0.43070000E+00  0.89707906E+00  0.89707906E+00
  0.48460000E+00  0.89691607E+00  0.89691607E+00
  0.53840000E+00  0.99635679E+00  0.99635679E+00
  0.59220000E+00  0.12046398E+01  0.12046398E+01
  0.64610000E+00  0.14405756E+01  0.14405756E+01
  0.69990000E+00  0.15534203E+01  0.15534203E+01
  0.75370000E+00  0.15681071E+01  0.15681071E+01
  0.80760000E+00  0.15890757E+01  0.15890757E+01
  0.86140000E+00  0.16360354E+01  0.16360354E+01
  0.91530000E+00  0.18095831E+01  0.18095831E+01
  0.96910000E+00  0.21649958E+01  0.21649958E+01
  0.10229000E+01  0.26197573E+01  0.26197573E+01
  0.10768000E+01  0.31222930E+01  0.31222930E+01
  0.11306000E+01  0.35715648E+01  0.35715648E+01
  0.11845000E+01  0.37494154E+01  0.37494154E+01
  0.12383000E+01  0.35634351E+01  0.35634351E+01
  0.12921000E+01  0.31205150E+01  0.31205150E+01
  0.13460000E+01  0.26498030E+01  0.26498030E+01
  0.13998000E+01  0.22899021E+01  0.22899021E+01
  0.14537000E+01  0.20426289E+01  0.20426289E+01
  0.15075000E+01  0.18757347E+01  0.18757347E+01
  0.15613000E+01  0.17212192E+01  0.17212192E+01
  0.16152000E+01  0.15390034E+01  0.15390034E+01
  0.16690000E+01  0.13540829E+01  0.13540829E+01
  0.17228000E+01  0.12013246E+01  0.12013246E+01
  0.17767000E+01  0.10891054E+01  0.10891054E+01
  0.18305000E+01  0.10180955E+01  0.10180955E+01
  0.18844000E+01  0.98894325E+00  0.98894325E+00
  0.19382000E+01  0.10072858E+01  0.10072858E+01
  0.19920000E+01  0.10819255E+01  0.10819255E+01
  0.20459000E+01  0.11752506E+01  0.11752506E+01
  0.20997000E+01  0.12214524E+01  0.12214524E+01
  0.21536000E+01  0.12405853E+01  0.12405853E+01
  0.22074000E+01  0.13166762E+01  0.13166762E+01
  0.22612000E+01  0.14138235E+01  0.14138235E+01
  0.23151000E+01  0.14430332E+01  0.14430332E+01
  0.23689000E+01  0.14039691E+01  0.14039691E+01
  0.24228000E+01  0.13510732E+01  0.13510732E+01
  0.24766000E+01  0.13268868E+01  0.13268868E+01
  0.25304000E+01  0.13529613E+01  0.13529613E+01
  0.25843000E+01  0.13903934E+01  0.13903934E+01
  0.26381000E+01  0.13823654E+01  0.13823654E+01
  0.26919000E+01  0.13423832E+01  0.13423832E+01
  0.27458000E+01  0.13123888E+01  0.13123888E+01
  0.27996000E+01  0.12750451E+01  0.12750451E+01
  0.28535000E+01  0.12022891E+01  0.12022891E+01
  0.29073000E+01  0.11166675E+01  0.11166675E+01
  0.29611000E+01  0.10657255E+01  0.10657255E+01
  0.30150000E+01  0.10609993E+01  0.10609993E+01
  0.30688000E+01  0.10723231E+01  0.10723231E+01
  0.31227000E+01  0.10680807E+01  0.10680807E+01
  0.31765000E+01  0.10178500E+01  0.10178500E+01
  0.32303000E+01  0.95174642E+00  0.95174642E+00
  0.32842000E+01  0.94843312E+00  0.94843312E+00
  0.33380000E+01  0.10068828E+01  0.10068828E+01
  0.33919000E+01  0.10633887E+01  0.10633887E+01
  0.34457000E+01  0.10579264E+01  0.10579264E+01
  0.34995000E+01  0.98280404E+00  0.98280404E+00
  0.35534000E+01  0.92142311E+00  0.92142311E+00
  0.36072000E+01  0.92271326E+00  0.92271326E+00
  0.36611000E+01  0.97973610E+00  0.97973610E+00
  0.37149000E+01  0.10314249E+01  0.10314249E+01
  0.37687000E+01  0.10278257E+01  0.10278257E+01
  0.38226000E+01  0.10128614E+01  0.10128614E+01
  0.38764000E+01  0.10477120E+01  0.10477120E+01
  0.39302000E+01  0.11145194E+01  0.11145194E+01
  0.39841000E+01  0.11652439E+01  0.11652439E+01
  0.40379000E+01  0.12223256E+01  0.12223256E+01
  0.40918000E+01  0.12960218E+01  0.12960218E+01
  0.41456000E+01  0.13448993E+01  0.13448993E+01
  0.41994000E+01  0.13599527E+01  0.13599527E+01
  0.42533000E+01  0.14082916E+01  0.14082916E+01
  0.43071000E+01  0.15172585E+01  0.15172585E+01
  0.43610000E+01  0.15913976E+01  0.15913976E+01
  0.44148000E+01  0.15624479E+01  0.15624479E+01
  0.44686000E+01  0.14848306E+01  0.14848306E+01
  0.45225000E+01  0.14142006E+01  0.14142006E+01
  0.45763000E+01  0.13838697E+01  0.13838697E+01
  0.46302000E+01  0.14172401E+01  0.14172401E+01
  0.46840000E+01  0.14983739E+01  0.14983739E+01
  0.47378000E+01  0.16320619E+01  0.16320619E+01
  0.47917000E+01  0.17988278E+01  0.17988278E+01
  0.48455000E+01  0.19759474E+01  0.19759474E+01
  0.48993000E+01  0.21877877E+01  0.21877877E+01
  0.49532000E+01  0.24073161E+01  0.24073161E+01
  0.50070000E+01  0.26268541E+01  0.26268541E+01
  0.50609000E+01  0.28242453E+01  0.28242453E+01
  0.51147000E+01  0.28849427E+01  0.28849427E+01
  0.51685000E+01  0.26648171E+01  0.26648171E+01
  0.52224000E+01  0.22812414E+01  0.22812414E+01
  0.52762000E+01  0.19726840E+01  0.19726840E+01
  0.53301000E+01  0.18320621E+01  0.18320621E+01
  0.53839000E+01  0.18111577E+01  0.18111577E+01
  0.54377000E+01  0.18357785E+01  0.18357785E+01
  0.54916000E+01  0.18840363E+01  0.18840363E+01
  0.55454000E+01  0.18767362E+01  0.18767362E+01
  0.55993000E+01  0.17424455E+01  0.17424455E+01
  0.56531000E+01  0.15686471E+01  0.15686471E+01
  0.57069000E+01  0.14418028E+01  0.14418028E+01
  0.57608000E+01  0.13748676E+01  0.13748676E+01
  0.58146000E+01  0.13787671E+01  0.13787671E+01
  0.58684000E+01  0.14550159E+01  0.14550159E+01
  0.59223000E+01  0.16131679E+01  0.16131679E+01
  0.59761000E+01  0.18288647E+01  0.18288647E+01
  0.60300000E+01  0.20197699E+01  0.20197699E+01
  0.60838000E+01  0.21290304E+01  0.21290304E+01
  0.61376000E+01  0.21437075E+01  0.21437075E+01
  0.61915000E+01  0.21253016E+01  0.21253016E+01
  0.62453000E+01  0.21791123E+01  0.21791123E+01
  0.62992000E+01  0.23444673E+01  0.23444673E+01
  0.63530000E+01  0.24786394E+01  0.24786394E+01
  0.64068000E+01  0.24022046E+01  0.24022046E+01
  0.64607000E+01  0.22210361E+01  0.22210361E+01
  0.65145000E+01  0.21262043E+01  0.21262043E+01
  0.65684000E+01  0.20968954E+01  0.20968954E+01
  0.66222000E+01  0.20459417E+01  0.20459417E+01
  0.66760000E+01  0.19890981E+01  0.19890981E+01
  0.67299000E+01  0.19942681E+01  0.19942681E+01
  0.67837000E+01  0.20825675E+01  0.20825675E+01
  0.68375000E+01  0.22102138E+01  0.22102138E+01
  0.68914000E+01  0.23096858E+01  0.23096858E+01
  0.69452000E+01  0.23443221E+01  0.23443221E+01
  0.69991000E+01  0.23200896E+01  0.23200896E+01
