   #Energy      xx(%)           yy(%)
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.67300000E-01  0.22859823E-01  0.22859823E-01
  0.13460000E+00  0.22557793E-01  0.22557793E-01
  0.20190000E+00  0.21956923E-01  0.21956923E-01
  0.26910000E+00  0.20946422E-01  0.20946422E-01
  0.33640000E+00  0.19527920E-01  0.19527920E-01
  0.40370000E+00  0.17784774E-01  0.17784774E-01
  0.47100000E+00  0.15993909E-01  0.15993909E-01
  0.53830000E+00  0.14564210E-01  0.14564210E-01
  0.60560000E+00  0.13902307E-01  0.13902307E-01
  0.67280000E+00  0.14207339E-01  0.14207339E-01
  0.74010000E+00  0.15330251E-01  0.15330251E-01
  0.80740000E+00  0.16760826E-01  0.16760826E-01
  0.87470000E+00  0.17871017E-01  0.17871017E-01
  0.94200000E+00  0.18209047E-01  0.18209047E-01
  0.10093000E+01  0.17665573E-01  0.17665573E-01
  0.10766000E+01  0.16414542E-01  0.16414542E-01
  0.11438000E+01  0.14734868E-01  0.14734868E-01
  0.12111000E+01  0.12892815E-01  0.12892815E-01
  0.12784000E+01  0.11092879E-01  0.11092879E-01
  0.13457000E+01  0.94990715E-02  0.94990715E-02
  0.14130000E+01  0.82322126E-02  0.82322126E-02
  0.14803000E+01  0.73629727E-02  0.73629727E-02
  0.15476000E+01  0.69112639E-02  0.69112639E-02
  0.16148000E+01  0.68523866E-02  0.68523866E-02
  0.16821000E+01  0.71317509E-02  0.71317509E-02
  0.17494000E+01  0.76656290E-02  0.76656290E-02
  0.18167000E+01  0.83604597E-02  0.83604597E-02
  0.18840000E+01  0.91322785E-02  0.91322785E-02
  0.19513000E+01  0.99293926E-02  0.99293926E-02
  0.20185000E+01  0.10735937E-01  0.10735937E-01
  0.20858000E+01  0.11549932E-01  0.11549932E-01
  0.21531000E+01  0.12329461E-01  0.12329461E-01
  0.22204000E+01  0.12968151E-01  0.12968151E-01
  0.22877000E+01  0.13354134E-01  0.13354134E-01
  0.23550000E+01  0.13479354E-01  0.13479354E-01
  0.24223000E+01  0.13517279E-01  0.13517279E-01
  0.24895000E+01  0.13765161E-01  0.13765161E-01
  0.25568000E+01  0.14523376E-01  0.14523376E-01
  0.26241000E+01  0.16017663E-01  0.16017663E-01
  0.26914000E+01  0.18439046E-01  0.18439046E-01
  0.27587000E+01  0.21986497E-01  0.21986497E-01
  0.28260000E+01  0.26770530E-01  0.26770530E-01
  0.28933000E+01  0.32614604E-01  0.32614604E-01
  0.29605000E+01  0.38922385E-01  0.38922385E-01
  0.30278000E+01  0.44761488E-01  0.44761488E-01
  0.30951000E+01  0.49120076E-01  0.49120076E-01
  0.31624000E+01  0.51276824E-01  0.51276824E-01
  0.32297000E+01  0.51074614E-01  0.51074614E-01
  0.32970000E+01  0.48946520E-01  0.48946520E-01
  0.33642000E+01  0.45660070E-01  0.45660070E-01
  0.34315000E+01  0.41996655E-01  0.41996655E-01
  0.34988000E+01  0.38483405E-01  0.38483405E-01
  0.35661000E+01  0.35313542E-01  0.35313542E-01
  0.36334000E+01  0.32401171E-01  0.32401171E-01
  0.37007000E+01  0.29530678E-01  0.29530678E-01
  0.37680000E+01  0.26506222E-01  0.26506222E-01
  0.38352000E+01  0.23278029E-01  0.23278029E-01
  0.39025000E+01  0.19966721E-01  0.19966721E-01
  0.39698000E+01  0.16781005E-01  0.16781005E-01
  0.40371000E+01  0.13914914E-01  0.13914914E-01
  0.41044000E+01  0.11476870E-01  0.11476870E-01
  0.41717000E+01  0.94786441E-02  0.94786441E-02
  0.42390000E+01  0.78764495E-02  0.78764495E-02
  0.43062000E+01  0.66166037E-02  0.66166037E-02
  0.43735000E+01  0.56572885E-02  0.56572885E-02
  0.44408000E+01  0.49685972E-02  0.49685972E-02
  0.45081000E+01  0.45087327E-02  0.45087327E-02
  0.45754000E+01  0.42026645E-02  0.42026645E-02
  0.46427000E+01  0.39445364E-02  0.39445364E-02
  0.47099000E+01  0.36314292E-02  0.36314292E-02
  0.47772000E+01  0.32154701E-02  0.32154701E-02
  0.48445000E+01  0.27299004E-02  0.27299004E-02
  0.49118000E+01  0.22664831E-02  0.22664831E-02
  0.49791000E+01  0.19294731E-02  0.19294731E-02
  0.50464000E+01  0.17883302E-02  0.17883302E-02
  0.51137000E+01  0.18568920E-02  0.18568920E-02
  0.51809000E+01  0.20974424E-02  0.20974424E-02
  0.52482000E+01  0.24561943E-02  0.24561943E-02
  0.53155000E+01  0.28926645E-02  0.28926645E-02
  0.53828000E+01  0.33824074E-02  0.33824074E-02
  0.54501000E+01  0.38944612E-02  0.38944612E-02
  0.55174000E+01  0.43776242E-02  0.43776242E-02
  0.55847000E+01  0.47869771E-02  0.47869771E-02
  0.56519000E+01  0.51126128E-02  0.51126128E-02
  0.57192000E+01  0.53917722E-02  0.53917722E-02
  0.57865000E+01  0.56714503E-02  0.56714503E-02
  0.58538000E+01  0.59599852E-02  0.59599852E-02
  0.59211000E+01  0.61923696E-02  0.61923696E-02
  0.59884000E+01  0.62494621E-02  0.62494621E-02
  0.60556000E+01  0.60365179E-02  0.60365179E-02
  0.61229000E+01  0.55767354E-02  0.55767354E-02
  0.61902000E+01  0.50149625E-02  0.50149625E-02
  0.62575000E+01  0.45396218E-02  0.45396218E-02
  0.63248000E+01  0.42801564E-02  0.42801564E-02
  0.63921000E+01  0.42516359E-02  0.42516359E-02
  0.64594000E+01  0.43825284E-02  0.43825284E-02
  0.65266000E+01  0.45878299E-02  0.45878299E-02
  0.65939000E+01  0.48324943E-02  0.48324943E-02
  0.66612000E+01  0.51328782E-02  0.51328782E-02
  0.67285000E+01  0.55115351E-02  0.55115351E-02
  0.67958000E+01  0.59489872E-02  0.59489872E-02
  0.68631000E+01  0.63633838E-02  0.63633838E-02
  0.69304000E+01  0.66412218E-02  0.66412218E-02
