  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.59770653E+00  0.68785181E+00  0.61688613E+00  0.39969412E+00  0.10000000E+01  0.10000000E+01
  0.83300000E-01  0.59770653E+00  0.68785181E+00  0.61688613E+00  0.39969412E+00  0.10000000E+01  0.10000000E+01
  0.16660000E+00  0.46549168E+00  0.57995569E+00  0.51043426E+00  0.43775196E+00  0.10000000E+01  0.10000000E+01
  0.24990000E+00  0.37713945E+00  0.50049184E+00  0.44930822E+00  0.55727886E+00  0.10000000E+01  0.10000000E+01
  0.33320000E+00  0.31894109E+00  0.44010808E+00  0.40482546E+00  0.72004988E+00  0.10000000E+01  0.10000000E+01
  0.41640000E+00  0.28375084E+00  0.39648029E+00  0.36139366E+00  0.92090577E+00  0.10000000E+01  0.10000000E+01
  0.49970000E+00  0.26407097E+00  0.36619813E+00  0.30922875E+00  0.85426342E+00  0.10000000E+01  0.10000000E+01
  0.58300000E+00  0.25436601E+00  0.34611704E+00  0.24702848E+00  0.67480662E+00  0.10000000E+01  0.10000000E+01
  0.66630000E+00  0.25121161E+00  0.33235576E+00  0.18722734E+00  0.53820684E+00  0.10000000E+01  0.10000000E+01
  0.74960000E+00  0.25246671E+00  0.31941121E+00  0.14537278E+00  0.43840378E+00  0.10000000E+01  0.10000000E+01
  0.83290000E+00  0.25712300E+00  0.30223923E+00  0.12214961E+00  0.37257543E+00  0.10000000E+01  0.10000000E+01
  0.91620000E+00  0.26500852E+00  0.27961543E+00  0.10926959E+00  0.34703148E+00  0.10000000E+01  0.10000000E+01
  0.99950000E+00  0.27558104E+00  0.25649580E+00  0.10061738E+00  0.39067480E+00  0.10000000E+01  0.10000000E+01
  0.10828000E+01  0.28697924E+00  0.24054862E+00  0.93821428E-01  0.62859561E+00  0.10000000E+01  0.10000000E+01
  0.11661000E+01  0.29638946E+00  0.23399277E+00  0.88744500E-01  0.84370793E+00  0.10000000E+01  0.10000000E+01
  0.12493000E+01  0.30114080E+00  0.23318105E+00  0.85956598E-01  0.72543846E+00  0.10000000E+01  0.10000000E+01
  0.13326000E+01  0.29964165E+00  0.23462776E+00  0.85338781E-01  0.78585493E+00  0.10000000E+01  0.10000000E+01
  0.14159000E+01  0.29218843E+00  0.23828350E+00  0.85622418E-01  0.95124223E+00  0.10000000E+01  0.10000000E+01
  0.14992000E+01  0.28180329E+00  0.24699918E+00  0.85624009E-01  0.82511294E+00  0.10000000E+01  0.10000000E+01
  0.15825000E+01  0.27413170E+00  0.26367204E+00  0.85528992E-01  0.64104978E+00  0.10000000E+01  0.10000000E+01
  0.16658000E+01  0.27490765E+00  0.28830861E+00  0.86673184E-01  0.50547838E+00  0.10000000E+01  0.10000000E+01
  0.17491000E+01  0.28623982E+00  0.31812436E+00  0.90251993E-01  0.40672819E+00  0.10000000E+01  0.10000000E+01
  0.18324000E+01  0.30575080E+00  0.34968963E+00  0.96448512E-01  0.32738983E+00  0.10000000E+01  0.10000000E+01
  0.19157000E+01  0.32865185E+00  0.38012961E+00  0.10448456E+00  0.25543319E+00  0.10000000E+01  0.10000000E+01
  0.19990000E+01  0.34917034E+00  0.40679378E+00  0.11293904E+00  0.18944670E+00  0.10000000E+01  0.10000000E+01
  0.20822000E+01  0.35968042E+00  0.42641806E+00  0.12027313E+00  0.13429203E+00  0.10000000E+01  0.10000000E+01
  0.21655000E+01  0.34902057E+00  0.43515922E+00  0.12528642E+00  0.94218446E-01  0.10000000E+01  0.10000000E+01
  0.22488000E+01  0.30384713E+00  0.43083280E+00  0.12732289E+00  0.70278793E-01  0.10000000E+01  0.10000000E+01
  0.23321000E+01  0.22049119E+00  0.41578569E+00  0.12634689E+00  0.60615327E-01  0.10000000E+01  0.10000000E+01
  0.24154000E+01  0.12764861E+00  0.39591006E+00  0.12320173E+00  0.62383554E-01  0.10000000E+01  0.10000000E+01
  0.24987000E+01  0.67481748E-01  0.37626783E+00  0.11966957E+00  0.74111269E-01  0.10000000E+01  0.10000000E+01
  0.25820000E+01  0.42144576E-01  0.35833954E+00  0.11760987E+00  0.95625370E-01  0.10000000E+01  0.10000000E+01
  0.26653000E+01  0.35122005E-01  0.33933085E+00  0.11768663E+00  0.12589630E+00  0.10000000E+01  0.10000000E+01
  0.27486000E+01  0.36537371E-01  0.31423355E+00  0.11922024E+00  0.16134681E+00  0.10000000E+01  0.10000000E+01
  0.28319000E+01  0.42651520E-01  0.28091224E+00  0.12115290E+00  0.19731540E+00  0.10000000E+01  0.10000000E+01
  0.29151000E+01  0.51918348E-01  0.24299054E+00  0.12279044E+00  0.23278461E+00  0.10000000E+01  0.10000000E+01
  0.29984000E+01  0.62367872E-01  0.20538736E+00  0.12374660E+00  0.27166536E+00  0.10000000E+01  0.10000000E+01
  0.30817000E+01  0.70842830E-01  0.17068079E+00  0.12323151E+00  0.31697316E+00  0.10000000E+01  0.10000000E+01
  0.31650000E+01  0.73445299E-01  0.14143584E+00  0.11970920E+00  0.36110007E+00  0.10000000E+01  0.10000000E+01
  0.32483000E+01  0.67190608E-01  0.12040526E+00  0.11167879E+00  0.38549642E+00  0.10000000E+01  0.10000000E+01
