  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.66196198E+00  0.66196198E+00  0.66196198E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.61500000E-01  0.65186016E+00  0.65186016E+00  0.65186016E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12300000E+00  0.61897274E+00  0.61897274E+00  0.61897274E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.18460000E+00  0.57806642E+00  0.57806642E+00  0.57806642E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.24610000E+00  0.55200834E+00  0.55200834E+00  0.55200834E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.30760000E+00  0.54003746E+00  0.54003746E+00  0.54003746E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.36910000E+00  0.52972027E+00  0.52972027E+00  0.52972027E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.43070000E+00  0.52251647E+00  0.52251647E+00  0.52251647E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.49220000E+00  0.52651705E+00  0.52651705E+00  0.52651705E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.55370000E+00  0.53638675E+00  0.53638675E+00  0.53638675E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.61520000E+00  0.54474952E+00  0.54474952E+00  0.54474952E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.67680000E+00  0.55034340E+00  0.55034340E+00  0.55034340E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.73830000E+00  0.55317825E+00  0.55317825E+00  0.55317825E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.79980000E+00  0.55212531E+00  0.55212531E+00  0.55212531E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.86130000E+00  0.55189245E+00  0.55189245E+00  0.55189245E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.92290000E+00  0.55733101E+00  0.55733101E+00  0.55733101E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.98440000E+00  0.56630223E+00  0.56630223E+00  0.56630223E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10459000E+01  0.57162767E+00  0.57162767E+00  0.57162767E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11074000E+01  0.56671496E+00  0.56671496E+00  0.56671496E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.11690000E+01  0.54404991E+00  0.54404991E+00  0.54404991E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12305000E+01  0.51503693E+00  0.51503693E+00  0.51503693E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.12920000E+01  0.50054259E+00  0.50054259E+00  0.50054259E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.13535000E+01  0.50889501E+00  0.50889501E+00  0.50889501E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14151000E+01  0.53423555E+00  0.53423555E+00  0.53423555E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.14766000E+01  0.56475436E+00  0.56475436E+00  0.56475436E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15381000E+01  0.59402641E+00  0.59402641E+00  0.59402641E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.15996000E+01  0.61771484E+00  0.61771484E+00  0.61771484E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.16612000E+01  0.63150879E+00  0.63150879E+00  0.63150879E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.17227000E+01  0.63849884E+00  0.63849884E+00  0.63849884E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.17842000E+01  0.63809090E+00  0.63809090E+00  0.63809090E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.18457000E+01  0.62146896E+00  0.62146896E+00  0.62146896E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.19073000E+01  0.59330375E+00  0.59330375E+00  0.59330375E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.19688000E+01  0.57142207E+00  0.57142207E+00  0.57142207E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.20303000E+01  0.55766345E+00  0.55766345E+00  0.55766345E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.20918000E+01  0.53690210E+00  0.53690210E+00  0.53690210E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.21534000E+01  0.50813228E+00  0.50813228E+00  0.50813228E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.22149000E+01  0.48622959E+00  0.48622959E+00  0.48622959E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.22764000E+01  0.47097400E+00  0.47097400E+00  0.47097400E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.23379000E+01  0.45201248E+00  0.45201248E+00  0.45201248E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
