  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.72995760E+00  0.72995760E+00  0.72995760E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.53800000E-01  0.72656747E+00  0.72656747E+00  0.72656747E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.10770000E+00  0.71693916E+00  0.71693916E+00  0.71693916E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.16150000E+00  0.70334597E+00  0.70334597E+00  0.70334597E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.21540000E+00  0.68040800E+00  0.68040800E+00  0.68040800E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.26920000E+00  0.64335249E+00  0.64335249E+00  0.64335249E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.32300000E+00  0.60126195E+00  0.60126195E+00  0.60126195E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.37690000E+00  0.56366348E+00  0.56366348E+00  0.56366348E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.43070000E+00  0.53063068E+00  0.53063068E+00  0.53063068E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.48460000E+00  0.51446399E+00  0.51446399E+00  0.51446399E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.53840000E+00  0.51924322E+00  0.51924322E+00  0.51924322E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.59220000E+00  0.53351199E+00  0.53351199E+00  0.53351199E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.64610000E+00  0.54399162E+00  0.54399162E+00  0.54399162E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.69990000E+00  0.54139766E+00  0.54139766E+00  0.54139766E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.75370000E+00  0.53047254E+00  0.53047254E+00  0.53047254E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.80760000E+00  0.52124042E+00  0.52124042E+00  0.52124042E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.86140000E+00  0.51613188E+00  0.51613188E+00  0.51613188E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
  0.91530000E+00  0.52405410E+00  0.52405410E+00  0.52405410E+00  0.10000000E+01  0.10000000E+01  0.10000000E+01
