  #energy          xx             yy              zz              xy              yz              zx
  0.00000000E+00  0.12733959E+02  0.12733959E+02  0.12733959E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.53800000E-01  0.11996962E+02  0.11996962E+02  0.11996962E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10770000E+00  0.10353775E+02  0.10353775E+02  0.10353775E+02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16150000E+00  0.86003445E+01  0.86003445E+01  0.86003445E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.21540000E+00  0.69910115E+01  0.69910115E+01  0.69910115E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.26920000E+00  0.58498802E+01  0.58498802E+01  0.58498802E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.32300000E+00  0.52489939E+01  0.52489939E+01  0.52489939E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.37690000E+00  0.49384787E+01  0.49384787E+01  0.49384787E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.43070000E+00  0.48213162E+01  0.48213162E+01  0.48213162E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.48460000E+00  0.49388380E+01  0.49388380E+01  0.49388380E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.53840000E+00  0.51717485E+01  0.51717485E+01  0.51717485E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.59220000E+00  0.53376360E+01  0.53376360E+01  0.53376360E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.64610000E+00  0.52775765E+01  0.52775765E+01  0.52775765E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.69990000E+00  0.50306442E+01  0.50306442E+01  0.50306442E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.75370000E+00  0.48334084E+01  0.48334084E+01  0.48334084E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.80760000E+00  0.47591753E+01  0.47591753E+01  0.47591753E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.86140000E+00  0.48002577E+01  0.48002577E+01  0.48002577E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.91530000E+00  0.49913895E+01  0.49913895E+01  0.49913895E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.96910000E+00  0.51846739E+01  0.51846739E+01  0.51846739E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10229000E+01  0.52630625E+01  0.52630625E+01  0.52630625E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.10768000E+01  0.52193994E+01  0.52193994E+01  0.52193994E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11306000E+01  0.49895245E+01  0.49895245E+01  0.49895245E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.11845000E+01  0.45340157E+01  0.45340157E+01  0.45340157E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12383000E+01  0.39356212E+01  0.39356212E+01  0.39356212E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12921000E+01  0.33295991E+01  0.33295991E+01  0.33295991E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13460000E+01  0.28490395E+01  0.28490395E+01  0.28490395E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13998000E+01  0.25244055E+01  0.25244055E+01  0.25244055E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14537000E+01  0.23110174E+01  0.23110174E+01  0.23110174E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15075000E+01  0.21580388E+01  0.21580388E+01  0.21580388E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15613000E+01  0.19987382E+01  0.19987382E+01  0.19987382E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16152000E+01  0.18200100E+01  0.18200100E+01  0.18200100E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16690000E+01  0.16617108E+01  0.16617108E+01  0.16617108E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17228000E+01  0.15544365E+01  0.15544365E+01  0.15544365E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17767000E+01  0.15027570E+01  0.15027570E+01  0.15027570E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.18305000E+01  0.15093315E+01  0.15093315E+01  0.15093315E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
