      #Energy        TDOS-UP        TDOS-DOWN
     -17.57882       0.00000       0.00000
     -17.56482       0.00000       0.00000
     -17.55082       0.00000       0.00000
     -17.53782       0.00000       0.00000
     -17.52382       0.00000       0.00000
     -17.50982       0.00000       0.00000
     -17.49582       0.00000       0.00000
     -17.48182       0.00000       0.00000
     -17.46882       0.00000       0.00000
     -17.45482       0.00000       0.00000
     -17.44082       0.00000       0.00000
     -17.42682       0.00000       0.00000
     -17.41282       0.00000       0.00000
     -17.39982       0.00000       0.00000
     -17.38582       0.00000       0.00000
     -17.37182       0.00000       0.00000
     -17.35782       0.00000       0.00000
     -17.34382       0.00000       0.00000
     -17.33082       0.00000       0.00000
     -17.31682       0.00000       0.00000
     -17.30282       0.00000       0.00000
     -17.28882       0.00000       0.00000
     -17.27482       0.00000       0.00000
     -17.26182       0.00000       0.00000
     -17.24782       0.00000       0.00000
     -17.23382       0.00000       0.00000
     -17.21982       0.00000       0.00000
     -17.20582       0.00000       0.00000
     -17.19282       0.00000       0.00000
     -17.17882       0.00000       0.00000
     -17.16482       0.00000       0.00000
     -17.15082       0.00000       0.00000
     -17.13682       0.00000       0.00000
     -17.12382       0.00000       0.00000
     -17.10982       0.00000       0.00000
     -17.09582       0.00000       0.00000
     -17.08182       0.00000       0.00000
     -17.06782       0.00000       0.00000
     -17.05482       0.00000       0.00000
     -17.04082       0.00000       0.00000
     -17.02682       0.00000       0.00000
     -17.01282       0.00000       0.00000
     -16.99882       0.00000       0.00000
     -16.98582       0.00000       0.00000
     -16.97182       0.00000       0.00000
     -16.95782       0.00000       0.00000
     -16.94382       0.00000       0.00000
     -16.92982       0.00000       0.00000
     -16.91582       0.00000       0.00000
     -16.90282       0.00000       0.00000
     -16.88882       0.00000       0.00000
     -16.87482       0.00000       0.00000
     -16.86082       0.00000       0.00000
     -16.84682       0.00000       0.00000
     -16.83382       0.00000       0.00000
     -16.81982       0.00000       0.00000
     -16.80582       0.00000       0.00000
     -16.79182       0.00000       0.00000
     -16.77782       0.00000       0.00000
     -16.76482       0.00000       0.00000
     -16.75082       0.00000       0.00000
     -16.73682       0.00000       0.00000
     -16.72282       0.00000       0.00000
     -16.70882       0.00000       0.00000
     -16.69582       0.00000       0.00000
     -16.68182       0.00000       0.00000
     -16.66782       0.00000       0.00000
     -16.65382       0.00000       0.00000
     -16.63982       0.00000       0.00000
     -16.62682       0.00000       0.00000
     -16.61282       0.00000       0.00000
     -16.59882       0.00000       0.00000
     -16.58482       0.00000       0.00000
     -16.57082       0.00000       0.00000
     -16.55782       0.00000       0.00000
     -16.54382       0.00000       0.00000
     -16.52982       0.00000       0.00000
     -16.51582       0.00000       0.00000
     -16.50182       0.00000       0.00000
