      #Energy        TDOS-UP        TDOS-DOWN
     -22.26349       0.00000       0.00000
     -22.24349       0.00000       0.00000
     -22.22449       0.00000       0.00000
     -22.20449       0.00000       0.00000
     -22.18549       0.00000       0.00000
     -22.16549       0.00000       0.00000
     -22.14649       0.00000       0.00000
     -22.12649       0.00000       0.00000
     -22.10749       0.00000       0.00000
     -22.08749       0.00000       0.00000
     -22.06849       0.00000       0.00000
     -22.04949       0.00000       0.00000
     -22.02949       0.00000       0.00000
     -22.01049       0.00000       0.00000
     -21.99049       0.00000       0.00000
     -21.97149       0.00000       0.00000
     -21.95149       0.00000       0.00000
     -21.93249       0.00000       0.00000
     -21.91249       0.00000       0.00000
     -21.89349       0.00000       0.00000
     -21.87349       0.00000       0.00000
     -21.85449       0.00000       0.00000
     -21.83449       0.00000       0.00000
     -21.81549       0.00000       0.00000
     -21.79549       0.00000       0.00000
     -21.77649       0.00000       0.00000
     -21.75749       0.00000       0.00000
     -21.73749       0.00000       0.00000
     -21.71849       0.00000       0.00000
     -21.69849       0.00000       0.00000
     -21.67949       0.00000       0.00000
     -21.65949       0.00000       0.00000
     -21.64049       0.00000       0.00000
     -21.62049       0.00000       0.00000
     -21.60149       0.00000       0.00000
     -21.58149       0.00000       0.00000
     -21.56249       0.00000       0.00000
     -21.54249       0.00000       0.00000
     -21.52349       0.00000       0.00000
     -21.50449       0.00000       0.00000
     -21.48449       0.00000       0.00000
     -21.46549       0.00000       0.00000
     -21.44549       0.00000       0.00000
     -21.42649       0.00000       0.00000
     -21.40649       0.00000       0.00000
     -21.38749       0.00000       0.00000
     -21.36749       0.00000       0.00000
     -21.34849       0.00000       0.00000
     -21.32849       0.00000       0.00000
     -21.30949       0.00000       0.00000
     -21.28949       0.00000       0.00000
     -21.27049       0.00000       0.00000
     -21.25049       0.00000       0.00000
     -21.23149       0.00000       0.00000
     -21.21249       0.00000       0.00000
     -21.19249       0.00000       0.00000
     -21.17349       0.00000       0.00000
     -21.15349       0.00000       0.00000
     -21.13449       0.00000       0.00000
     -21.11449       0.00000       0.00000
     -21.09549       0.00000       0.00000
     -21.07549       0.00000       0.00000
     -21.05649       0.00000       0.00000
     -21.03649       0.00000       0.00000
     -21.01749       0.00000       0.00000
     -20.99749       0.00000       0.00000
     -20.97849       0.00000       0.00000
     -20.95849       0.00000       0.00000
     -20.93949       0.00000       0.00000
     -20.92049       0.00000       0.00000
     -20.90049       0.00000       0.00000
     -20.88149       0.00000       0.00000
     -20.86149       0.00000       0.00000
     -20.84249       0.00000       0.00000
     -20.82249       0.00000       0.00000
     -20.80349       0.00000       0.00000
     -20.78349       0.00000       0.00000
     -20.76449       0.00000       0.00000
     -20.74449       0.00000       0.00000
     -20.72549       0.00000       0.00000
     -20.70549       0.00000       0.00000
     -20.68649       0.00000       0.00000
     -20.66649       0.00000       0.00000
     -20.64749       0.00000       0.00000
     -20.62849       0.00000       0.00000
     -20.60849       0.00000       0.00000
     -20.58949       0.00000       0.00000
     -20.56949       0.00000       0.00000
     -20.55049       0.00000       0.00000
     -20.53049       0.00000       0.00000
     -20.51149       0.00000       0.00000
     -20.49149       0.05787       0.00000
     -20.47249       0.06667       0.00000
     -20.45249       0.09955       0.00000
     -20.43349       0.11970       0.00000
     -20.41349       0.13610       0.00000
     -20.39449       0.15010      -0.08052
     -20.37549       0.16200      -0.09357
     -20.35549       0.17930      -0.13060
     -20.33649       0.19820      -0.13290
     -20.31649       0.21140      -0.14720
     -20.29749       0.22340      -0.15910
     -20.27749       0.23350      -0.17520
     -20.25849       0.24360      -0.19350
     -20.23849       0.25620      -0.20780
     -20.21949       0.26960      -0.22000
     -20.19949       0.28360      -0.23040
     -20.18049       0.29790      -0.23980
     -20.16049       0.30970      -0.25200
     -20.14149       0.32150      -0.26510
     -20.12149       0.33330      -0.27890
     -20.10249       0.34550      -0.29300
     -20.08349       0.35850      -0.30720
     -20.06349       0.37190      -0.31680
     -20.04449       0.38540      -0.32850
     -20.02449       0.39900      -0.34010
     -20.00549       0.41270      -0.35290
     -19.98549       0.42840      -0.36590
     -19.96649       0.44490      -0.37910
     -19.94649       0.46180      -0.39250
     -19.92749       0.47890      -0.40600
     -19.90749       0.49610      -0.42100
     -19.88849       0.51340      -0.43680
     -19.86849       0.53090      -0.45310
     -19.84949       0.54920      -0.46980
     -19.82949       0.56880      -0.48660
     -19.81049       0.58850      -0.50340
     -19.79149       0.62260      -0.52050
     -19.77149       0.65660      -0.53790
     -19.75249       0.69370      -0.55680
     -19.73249       0.72890      -0.57610
     -19.71349       0.76460      -0.60400
     -19.69349       0.80100      -0.63530
     -19.67449       0.96990      -0.67040
     -19.65449       0.94760      -0.70560
     -19.63549       0.92540      -0.74020
     -19.61549       0.92120      -0.77530
     -19.59649       0.91640      -0.94100
     -19.57649       0.91630      -0.92530
     -19.55749       0.91670      -0.95490
     -19.53849       0.90060      -0.92110
     -19.51849       0.89610      -0.91640
     -19.49949       0.88990      -0.91170
     -19.47949       0.88810      -0.91380
     -19.46049       0.88430      -0.91320
     -19.44049       0.87960      -0.89710
     -19.42149       0.87390      -0.89060
     -19.40149       0.86270      -0.88650
     -19.38249       0.85680      -0.88350
     -19.36249       0.85300      -0.87930
     -19.34349       0.84840      -0.87420
     -19.32349       0.84290      -0.86330
     -19.30449       0.83660      -0.85680
     -19.28449       0.82980      -0.85200
     -19.26549       0.82570      -0.84760
     -19.24649       0.81960      -0.84260
     -19.22649       0.81280      -0.83660
     -19.20749       0.80480      -0.83000
     -19.18749       0.79640      -0.82380
     -19.16849       0.78740      -0.81890
     -19.14849       0.77920      -0.81240
     -19.12949       0.78860      -0.80500
     -19.10949       0.78030      -0.79670
     -19.09049       0.76430      -0.78800
     -19.07049       0.73810      -0.77940
     -19.05149       0.70840      -0.77060
     -19.03149       0.71410      -0.77990
     -19.01249       0.60090      -0.77010
     -18.99249       0.53110      -0.75120
     -18.97349       0.49690      -0.72490
     -18.95449       0.46440      -0.69530
     -18.93449       0.43380      -0.70010
     -18.91549       0.40050      -0.58650
     -18.89549       0.38030      -0.52080
     -18.87649       0.35660      -0.48680
     -18.85649       0.33420      -0.45470
     -18.83749       0.31270      -0.42440
     -18.81749       0.29210      -0.39630
     -18.79849       0.27330      -0.37180
     -18.77849       0.25690      -0.34840
     -18.75949       0.23790      -0.32600
     -18.73949       0.21960      -0.30450
     -18.72049       0.20190      -0.28380
     -18.70049       0.18890      -0.26840
     -18.68149       0.51630      -0.24860
     -18.66249       0.70360      -0.22950
     -18.64249       0.87940      -0.21110
     -18.62349       1.11500      -0.19340
     -18.60349       1.38200      -0.18220
     -18.58449       1.63500      -0.70990
     -18.56449       1.97300      -0.77960
     -18.54549       2.43500      -1.00500
     -18.52549       3.23900      -1.22800
     -18.50649       9.53700      -1.46200
     -18.48649       8.44900      -1.74900
     -18.46749       6.48400      -2.11800
     -18.44749       5.18900      -2.62300
     -18.42849       4.63800      -6.71900
     -18.40949       5.60900      -8.42700
     -18.38949       4.14100      -7.14900
     -18.37049       3.85500      -6.16000
     -18.35049       4.29900      -4.38400
     -18.33149       4.00200      -4.30700
     -18.31149       3.72200      -4.94600
     -18.29249       4.09400      -3.77300
     -18.27249       3.69700      -3.59600
     -18.25349       4.10000      -4.14300
     -18.23349       4.78000      -3.71100
     -18.21449       4.60400      -3.62100
     -18.19449       3.15300      -4.00400
     -18.17549       2.55300      -3.56800
