      #Energy        TDOS-UP        TDOS-DOWN
     -22.14779       0.00000       0.00000
     -22.13079       0.00000       0.00000
     -22.11379       0.00000       0.00000
     -22.09679       0.00000       0.00000
     -22.08079       0.00000       0.00000
     -22.06379       0.00000       0.00000
     -22.04679       0.00000       0.00000
     -22.02979       0.00000       0.00000
     -22.01379       0.00000       0.00000
     -21.99679       0.00000       0.00000
     -21.97979       0.00000       0.00000
     -21.96279       0.00000       0.00000
     -21.94679       0.00000       0.00000
     -21.92979       0.00000       0.00000
     -21.91279       0.00000       0.00000
     -21.89579       0.00000       0.00000
     -21.87979       0.00000       0.00000
     -21.86279       0.00000       0.00000
     -21.84579       0.00000       0.00000
     -21.82879       0.00000       0.00000
     -21.81279       0.00000       0.00000
     -21.79579       0.00000       0.00000
     -21.77879       0.00000       0.00000
     -21.76179       0.00000       0.00000
     -21.74479       0.00000       0.00000
     -21.72879       0.00000       0.00000
     -21.71179       0.00000       0.00000
     -21.69479       0.00000       0.00000
     -21.67779       0.00000       0.00000
     -21.66179       0.00000       0.00000
     -21.64479       0.00000       0.00000
     -21.62779       0.00000       0.00000
     -21.61079       0.00000       0.00000
     -21.59479       0.00000       0.00000
     -21.57779       0.00000       0.00000
     -21.56079       0.00000       0.00000
     -21.54379       0.00000       0.00000
     -21.52779       0.00000       0.00000
     -21.51079       0.00000       0.00000
     -21.49379       0.00000       0.00000
     -21.47679       0.00000       0.00000
     -21.45979       0.00000       0.00000
     -21.44379       0.00000       0.00000
     -21.42679       0.00000       0.00000
     -21.40979       0.00000       0.00000
     -21.39279       0.00000       0.00000
     -21.37679       0.00000       0.00000
     -21.35979       0.00000       0.00000
     -21.34279       0.00000       0.00000
     -21.32579       0.00000       0.00000
     -21.30979       0.00000       0.00000
     -21.29279       0.00000       0.00000
     -21.27579       0.00000       0.00000
     -21.25879       0.00000       0.00000
     -21.24279       0.00000       0.00000
     -21.22579       0.00000       0.00000
     -21.20879       0.00000       0.00000
     -21.19179       0.00000       0.00000
     -21.17479       0.00000       0.00000
     -21.15879       0.00000       0.00000
     -21.14179       0.00000       0.00000
