   #Energy      xx(%)           yy(%)
  0.00000000E+00  0.10000000E+03  0.10000000E+03
  0.83300000E-01  0.98315447E+02  0.97057641E+02
  0.16660000E+00  0.98350030E+02  0.97138633E+02
  0.24990000E+00  0.98375337E+02  0.97201123E+02
  0.33320000E+00  0.98367294E+02  0.97202397E+02
  0.41640000E+00  0.98315841E+02  0.97139715E+02
  0.49970000E+00  0.98217582E+02  0.97021571E+02
  0.58300000E+00  0.98068340E+02  0.96856470E+02
  0.66630000E+00  0.97859828E+02  0.96676824E+02
  0.74960000E+00  0.97583921E+02  0.96552669E+02
  0.83290000E+00  0.97228743E+02  0.96540089E+02
  0.91620000E+00  0.96773496E+02  0.96616959E+02
  0.99950000E+00  0.96214599E+02  0.96688840E+02
  0.10828000E+01  0.95618518E+02  0.96662308E+02
  0.11661000E+01  0.95126707E+02  0.96511400E+02
  0.12493000E+01  0.94866539E+02  0.96275400E+02
  0.13326000E+01  0.94851815E+02  0.95997026E+02
  0.14159000E+01  0.94982369E+02  0.95662606E+02
  0.14992000E+01  0.95113841E+02  0.95183661E+02
  0.15825000E+01  0.95128275E+02  0.94442262E+02
  0.16658000E+01  0.94982403E+02  0.93409540E+02
  0.17491000E+01  0.94755115E+02  0.92274179E+02
  0.18324000E+01  0.94655341E+02  0.91420988E+02
  0.19157000E+01  0.94910079E+02  0.91208343E+02
  0.19990000E+01  0.95577067E+02  0.91731039E+02
  0.20822000E+01  0.96478913E+02  0.92766643E+02
  0.21655000E+01  0.97344677E+02  0.93930822E+02
  0.22488000E+01  0.97997530E+02  0.94917528E+02
  0.23321000E+01  0.98406271E+02  0.95628778E+02
  0.24154000E+01  0.98621174E+02  0.96119519E+02
  0.24987000E+01  0.98701679E+02  0.96485101E+02
  0.25820000E+01  0.98689483E+02  0.96802772E+02
  0.26653000E+01  0.98608822E+02  0.97108936E+02
  0.27486000E+01  0.98465144E+02  0.97390314E+02
  0.28319000E+01  0.98243973E+02  0.97613939E+02
  0.29151000E+01  0.97931631E+02  0.97770884E+02
  0.29984000E+01  0.97572164E+02  0.97877756E+02
  0.30817000E+01  0.97297677E+02  0.97946641E+02
  0.31650000E+01  0.97254095E+02  0.97974783E+02
  0.32483000E+01  0.97465232E+02  0.97965429E+02
  0.33316000E+01  0.97801716E+02  0.97944915E+02
